case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
threshold_sweep,helios_t10,10,1.913,0.118
threshold_sweep,helios_t20,10,1.692,0.110
threshold_sweep,helios_t30,10,1.518,0.079
threshold_sweep,helios_t40,10,1.237,0.069
threshold_sweep,helios_t50,10,1.057,0.030
threshold_sweep,helios_t60,10,0.983,0.072
threshold_sweep,helios_t70,10,1.061,0.084
threshold_sweep,helios_t80,10,1.159,0.089
threshold_sweep,helios_t90,10,1.260,0.084
threshold_sweep,hyacinth_dynamic,10,1.000,0.000
threshold_sweep,hyacinth_preset_t10,10,1.700,0.084
threshold_sweep,hyacinth_preset_t20,10,1.478,0.126
threshold_sweep,hyacinth_preset_t30,10,1.263,0.091
threshold_sweep,hyacinth_preset_t40,10,1.112,0.062
threshold_sweep,hyacinth_preset_t50,10,1.014,0.075
threshold_sweep,hyacinth_preset_t60,10,0.954,0.072
threshold_sweep,hyacinth_preset_t70,10,0.972,0.072
threshold_sweep,hyacinth_preset_t80,10,1.098,0.060
threshold_sweep,hyacinth_preset_t90,10,1.156,0.086
