case_base,seed,scheduler,avg_relative_cct_vs_dynamic
threshold_sweep,42,helios_t10,1.541
threshold_sweep,42,helios_t20,1.431
threshold_sweep,42,helios_t30,1.269
threshold_sweep,42,helios_t40,1.111
threshold_sweep,42,helios_t50,1.071
threshold_sweep,42,helios_t60,1.016
threshold_sweep,42,helios_t70,0.891
threshold_sweep,42,helios_t80,1.191
threshold_sweep,42,helios_t90,0.907
threshold_sweep,42,hyacinth_dynamic,1.000
threshold_sweep,42,hyacinth_preset_t10,1.234
threshold_sweep,42,hyacinth_preset_t20,1.790
threshold_sweep,42,hyacinth_preset_t30,1.203
threshold_sweep,42,hyacinth_preset_t40,1.209
threshold_sweep,42,hyacinth_preset_t50,0.950
threshold_sweep,42,hyacinth_preset_t60,1.005
threshold_sweep,42,hyacinth_preset_t70,1.025
threshold_sweep,42,hyacinth_preset_t80,0.939
threshold_sweep,42,hyacinth_preset_t90,0.991
threshold_sweep,43,helios_t10,1.938
threshold_sweep,43,helios_t20,2.359
threshold_sweep,43,helios_t30,1.832
threshold_sweep,43,helios_t40,1.432
threshold_sweep,43,helios_t50,1.267
threshold_sweep,43,helios_t60,1.273
threshold_sweep,43,helios_t70,1.518
threshold_sweep,43,helios_t80,1.493
threshold_sweep,43,helios_t90,1.522
threshold_sweep,43,hyacinth_dynamic,1.000
threshold_sweep,43,hyacinth_preset_t10,1.925
threshold_sweep,43,hyacinth_preset_t20,1.735
threshold_sweep,43,hyacinth_preset_t30,1.532
threshold_sweep,43,hyacinth_preset_t40,1.436
threshold_sweep,43,hyacinth_preset_t50,1.160
threshold_sweep,43,hyacinth_preset_t60,1.380
threshold_sweep,43,hyacinth_preset_t70,1.266
threshold_sweep,43,hyacinth_preset_t80,1.306
threshold_sweep,43,hyacinth_preset_t90,1.539
threshold_sweep,44,helios_t10,2.091
threshold_sweep,44,helios_t20,1.293
threshold_sweep,44,helios_t30,1.177
threshold_sweep,44,helios_t40,1.029
threshold_sweep,44,helios_t50,1.111
threshold_sweep,44,helios_t60,0.666
threshold_sweep,44,helios_t70,0.904
threshold_sweep,44,helios_t80,0.946
threshold_sweep,44,helios_t90,1.308
threshold_sweep,44,hyacinth_dynamic,1.000
threshold_sweep,44,hyacinth_preset_t10,1.392
threshold_sweep,44,hyacinth_preset_t20,1.086
threshold_sweep,44,hyacinth_preset_t30,1.008
threshold_sweep,44,hyacinth_preset_t40,0.943
threshold_sweep,44,hyacinth_preset_t50,0.916
threshold_sweep,44,hyacinth_preset_t60,0.921
threshold_sweep,44,hyacinth_preset_t70,0.686
threshold_sweep,44,hyacinth_preset_t80,1.169
threshold_sweep,44,hyacinth_preset_t90,0.869
threshold_sweep,45,helios_t10,1.731
threshold_sweep,45,helios_t20,1.561
threshold_sweep,45,helios_t30,1.349
threshold_sweep,45,helios_t40,1.110
threshold_sweep,45,helios_t50,1.062
threshold_sweep,45,helios_t60,1.165
threshold_sweep,45,helios_t70,0.995
threshold_sweep,45,helios_t80,1.361
threshold_sweep,45,helios_t90,1.390
threshold_sweep,45,hyacinth_dynamic,1.000
threshold_sweep,45,hyacinth_preset_t10,1.282
threshold_sweep,45,hyacinth_preset_t20,1.421
threshold_sweep,45,hyacinth_preset_t30,1.323
threshold_sweep,45,hyacinth_preset_t40,1.102
threshold_sweep,45,hyacinth_preset_t50,1.131
threshold_sweep,45,hyacinth_preset_t60,1.456
threshold_sweep,45,hyacinth_preset_t70,1.164
threshold_sweep,45,hyacinth_preset_t80,1.299
threshold_sweep,45,hyacinth_preset_t90,1.207
threshold_sweep,46,helios_t10,1.722
threshold_sweep,46,helios_t20,1.564
threshold_sweep,46,helios_t30,1.194
threshold_sweep,46,helios_t40,1.455
threshold_sweep,46,helios_t50,1.299
threshold_sweep,46,helios_t60,0.915
threshold_sweep,46,helios_t70,1.024
threshold_sweep,46,helios_t80,0.940
threshold_sweep,46,helios_t90,1.109
threshold_sweep,46,hyacinth_dynamic,1.000
threshold_sweep,46,hyacinth_preset_t10,1.612
threshold_sweep,46,hyacinth_preset_t20,1.149
threshold_sweep,46,hyacinth_preset_t30,1.052
threshold_sweep,46,hyacinth_preset_t40,0.909
threshold_sweep,46,hyacinth_preset_t50,0.836
threshold_sweep,46,hyacinth_preset_t60,1.022
threshold_sweep,46,hyacinth_preset_t70,1.109
threshold_sweep,46,hyacinth_preset_t80,0.949
threshold_sweep,46,hyacinth_preset_t90,1.057
threshold_sweep,47,helios_t10,2.126
threshold_sweep,47,helios_t20,1.719
threshold_sweep,47,helios_t30,1.966
threshold_sweep,47,helios_t40,2.299
threshold_sweep,47,helios_t50,1.205
threshold_sweep,47,helios_t60,1.209
threshold_sweep,47,helios_t70,1.410
threshold_sweep,47,helios_t80,1.436
threshold_sweep,47,helios_t90,1.700
threshold_sweep,47,hyacinth_dynamic,1.000
threshold_sweep,47,hyacinth_preset_t10,2.084
threshold_sweep,47,hyacinth_preset_t20,1.296
threshold_sweep,47,hyacinth_preset_t30,1.105
threshold_sweep,47,hyacinth_preset_t40,0.948
threshold_sweep,47,hyacinth_preset_t50,1.014
threshold_sweep,47,hyacinth_preset_t60,1.033
threshold_sweep,47,hyacinth_preset_t70,1.178
threshold_sweep,47,hyacinth_preset_t80,1.386
threshold_sweep,47,hyacinth_preset_t90,1.289
threshold_sweep,48,helios_t10,2.146
threshold_sweep,48,helios_t20,1.956
threshold_sweep,48,helios_t30,1.313
threshold_sweep,48,helios_t40,1.228
threshold_sweep,48,helios_t50,1.213
threshold_sweep,48,helios_t60,0.936
threshold_sweep,48,helios_t70,1.191
threshold_sweep,48,helios_t80,1.314
threshold_sweep,48,helios_t90,1.185
threshold_sweep,48,hyacinth_dynamic,1.000
threshold_sweep,48,hyacinth_preset_t10,1.695
threshold_sweep,48,hyacinth_preset_t20,1.714
threshold_sweep,48,hyacinth_preset_t30,1.189
threshold_sweep,48,hyacinth_preset_t40,1.039
threshold_sweep,48,hyacinth_preset_t50,1.059
threshold_sweep,48,hyacinth_preset_t60,0.728
