case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
threshold_sweep,helios_t10,10,1.883,0.187
threshold_sweep,helios_t20,10,1.741,0.335
threshold_sweep,helios_t30,10,1.494,0.265
threshold_sweep,helios_t40,10,1.378,0.373
threshold_sweep,helios_t50,10,1.200,0.101
threshold_sweep,helios_t60,10,1.063,0.193
threshold_sweep,helios_t70,10,1.139,0.205
threshold_sweep,helios_t80,10,1.263,0.224
threshold_sweep,helios_t90,10,1.337,0.247
threshold_sweep,hyacinth_dynamic,10,1.000,0.000
threshold_sweep,hyacinth_preset_t10,10,1.648,0.260
threshold_sweep,hyacinth_preset_t20,10,1.433,0.230
threshold_sweep,hyacinth_preset_t30,10,1.265,0.194
threshold_sweep,hyacinth_preset_t40,10,1.128,0.199
threshold_sweep,hyacinth_preset_t50,10,1.060,0.154
threshold_sweep,hyacinth_preset_t60,10,1.079,0.212
threshold_sweep,hyacinth_preset_t70,10,1.048,0.182
threshold_sweep,hyacinth_preset_t80,10,1.219,0.197
threshold_sweep,hyacinth_preset_t90,10,1.190,0.184
