case_base,seed,scheduler,avg_relative_fct_vs_dynamic
threshold_sweep,42,helios_t10,0.990
threshold_sweep,42,helios_t20,1.555
threshold_sweep,42,helios_t30,1.831
threshold_sweep,42,helios_t40,3.711
threshold_sweep,42,helios_t50,3.631
threshold_sweep,42,helios_t60,4.143
threshold_sweep,42,helios_t70,4.888
threshold_sweep,42,helios_t80,18.436
threshold_sweep,42,helios_t90,24.641
threshold_sweep,42,hyacinth_dynamic,1.000
threshold_sweep,42,hyacinth_preset_t10,2.786
threshold_sweep,42,hyacinth_preset_t20,1.801
threshold_sweep,42,hyacinth_preset_t30,2.076
threshold_sweep,42,hyacinth_preset_t40,1.254
threshold_sweep,42,hyacinth_preset_t50,1.092
threshold_sweep,42,hyacinth_preset_t60,0.992
threshold_sweep,42,hyacinth_preset_t70,1.002
threshold_sweep,42,hyacinth_preset_t80,0.955
threshold_sweep,42,hyacinth_preset_t90,1.015
threshold_sweep,43,helios_t10,0.993
threshold_sweep,43,helios_t20,1.374
threshold_sweep,43,helios_t30,2.386
threshold_sweep,43,helios_t40,3.344
threshold_sweep,43,helios_t50,9.860
threshold_sweep,43,helios_t60,4.693
threshold_sweep,43,helios_t70,19.726
threshold_sweep,43,helios_t80,13.002
threshold_sweep,43,helios_t90,5.308
threshold_sweep,43,hyacinth_dynamic,1.000
threshold_sweep,43,hyacinth_preset_t10,2.220
threshold_sweep,43,hyacinth_preset_t20,1.972
threshold_sweep,43,hyacinth_preset_t30,1.572
threshold_sweep,43,hyacinth_preset_t40,1.276
threshold_sweep,43,hyacinth_preset_t50,1.194
threshold_sweep,43,hyacinth_preset_t60,1.156
threshold_sweep,43,hyacinth_preset_t70,0.975
threshold_sweep,43,hyacinth_preset_t80,1.135
threshold_sweep,43,hyacinth_preset_t90,1.233
threshold_sweep,44,helios_t10,0.955
threshold_sweep,44,helios_t20,1.750
threshold_sweep,44,helios_t30,2.086
threshold_sweep,44,helios_t40,3.880
threshold_sweep,44,helios_t50,4.541
threshold_sweep,44,helios_t60,3.727
threshold_sweep,44,helios_t70,4.706
threshold_sweep,44,helios_t80,6.500
threshold_sweep,44,helios_t90,8.289
threshold_sweep,44,hyacinth_dynamic,1.000
threshold_sweep,44,hyacinth_preset_t10,2.441
threshold_sweep,44,hyacinth_preset_t20,1.678
threshold_sweep,44,hyacinth_preset_t30,1.581
threshold_sweep,44,hyacinth_preset_t40,1.400
threshold_sweep,44,hyacinth_preset_t50,0.981
threshold_sweep,44,hyacinth_preset_t60,0.899
threshold_sweep,44,hyacinth_preset_t70,0.963
threshold_sweep,44,hyacinth_preset_t80,0.935
threshold_sweep,44,hyacinth_preset_t90,1.042
threshold_sweep,45,helios_t10,0.975
threshold_sweep,45,helios_t20,1.299
threshold_sweep,45,helios_t30,1.941
threshold_sweep,45,helios_t40,3.014
threshold_sweep,45,helios_t50,3.625
threshold_sweep,45,helios_t60,4.412
threshold_sweep,45,helios_t70,4.785
threshold_sweep,45,helios_t80,4.812
threshold_sweep,45,helios_t90,7.096
threshold_sweep,45,hyacinth_dynamic,1.000
threshold_sweep,45,hyacinth_preset_t10,2.142
threshold_sweep,45,hyacinth_preset_t20,1.862
threshold_sweep,45,hyacinth_preset_t30,1.454
threshold_sweep,45,hyacinth_preset_t40,1.200
threshold_sweep,45,hyacinth_preset_t50,1.184
threshold_sweep,45,hyacinth_preset_t60,1.024
threshold_sweep,45,hyacinth_preset_t70,1.026
threshold_sweep,45,hyacinth_preset_t80,0.987
threshold_sweep,45,hyacinth_preset_t90,1.065
threshold_sweep,46,helios_t10,1.054
threshold_sweep,46,helios_t20,30.846
threshold_sweep,46,helios_t30,27.581
threshold_sweep,46,helios_t40,34.649
threshold_sweep,46,helios_t50,143.924
threshold_sweep,46,helios_t60,30.454
