case_base,scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
threshold_sweep,helios_t10,10,1.002,0.040
threshold_sweep,helios_t20,10,5.646,8.769
threshold_sweep,helios_t30,10,4.949,7.570
threshold_sweep,helios_t40,10,7.138,9.225
threshold_sweep,helios_t50,10,19.715,41.489
threshold_sweep,helios_t60,10,14.029,16.401
threshold_sweep,helios_t70,10,11.105,10.013
threshold_sweep,helios_t80,10,13.691,13.262
threshold_sweep,helios_t90,10,12.956,7.600
threshold_sweep,hyacinth_dynamic,10,1.000,0.000
threshold_sweep,hyacinth_preset_t10,10,2.510,0.347
threshold_sweep,hyacinth_preset_t20,10,3.197,3.032
threshold_sweep,hyacinth_preset_t30,10,1.831,0.428
threshold_sweep,hyacinth_preset_t40,10,1.432,0.288
threshold_sweep,hyacinth_preset_t50,10,1.186,0.272
threshold_sweep,hyacinth_preset_t60,10,1.005,0.061
threshold_sweep,hyacinth_preset_t70,10,0.974,0.039
threshold_sweep,hyacinth_preset_t80,10,0.999,0.057
threshold_sweep,hyacinth_preset_t90,10,1.129,0.173
