scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
helios_t10,100.0,1128.986,1.188,1128.986,1.188,80,0
helios_t20,100.0,1003.186,1.056,1003.186,1.056,80,0
helios_t30,100.0,1024.448,1.078,1024.448,1.078,80,0
helios_t40,100.0,1177.225,1.239,1177.225,1.239,80,0
helios_t50,100.0,1347.867,1.419,1347.867,1.419,80,0
helios_t60,100.0,1456.705,1.533,1456.705,1.533,80,0
helios_t70,100.0,1649.600,1.736,1649.600,1.736,80,0
helios_t80,100.0,1970.033,2.074,1970.033,2.074,80,0
helios_t90,100.0,2021.968,2.128,2021.968,2.128,80,0
hyacinth_dynamic,100.0,949.964,1.000,949.964,1.000,80,0
hyacinth_preset_t10,100.0,1036.803,1.091,1036.803,1.091,80,0
hyacinth_preset_t20,100.0,1010.525,1.064,1010.525,1.064,80,0
hyacinth_preset_t30,100.0,995.186,1.048,995.186,1.048,80,0
hyacinth_preset_t40,100.0,1101.130,1.159,1101.130,1.159,80,0
hyacinth_preset_t50,100.0,1304.812,1.374,1304.812,1.374,80,0
hyacinth_preset_t60,100.0,1572.061,1.655,1572.061,1.655,80,0
hyacinth_preset_t70,100.0,1732.420,1.824,1732.420,1.824,80,0
hyacinth_preset_t80,100.0,2013.786,2.120,2013.786,2.120,80,0
hyacinth_preset_t90,100.0,2233.357,2.351,2233.357,2.351,80,0
