scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
helios_t10,100.0,3211.369,1.008,3211.369,1.008,80,0
helios_t20,100.0,2526.245,0.793,2526.245,0.793,80,0
helios_t30,100.0,2835.344,0.890,2835.344,0.890,80,0
helios_t40,100.0,4134.303,1.298,4134.303,1.298,80,0
helios_t50,100.0,2956.940,0.928,2956.940,0.928,80,0
helios_t60,100.0,2981.954,0.936,2981.954,0.936,80,0
helios_t70,100.0,3469.350,1.089,3469.350,1.089,80,0
helios_t80,100.0,3862.181,1.212,3862.181,1.212,80,0
helios_t90,100.0,3818.790,1.199,3818.790,1.199,80,0
hyacinth_dynamic,100.0,3185.662,1.000,3185.662,1.000,80,0
hyacinth_preset_t10,100.0,2564.805,0.805,2564.805,0.805,80,0
hyacinth_preset_t20,100.0,3536.364,1.110,3536.364,1.110,80,0
hyacinth_preset_t30,100.0,3352.883,1.052,3352.883,1.052,80,0
hyacinth_preset_t40,100.0,3337.119,1.048,3337.119,1.048,80,0
hyacinth_preset_t50,100.0,2894.462,0.909,2894.462,0.909,80,0
hyacinth_preset_t60,100.0,3980.916,1.250,3980.916,1.250,80,0
hyacinth_preset_t70,100.0,4875.102,1.530,4875.102,1.530,80,0
hyacinth_preset_t80,100.0,5062.524,1.589,5062.524,1.589,80,0
hyacinth_preset_t90,100.0,4346.914,1.365,4346.914,1.365,80,0
