scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,0.927,17,17,17
helios_t20,1.040,17,17,17
helios_t30,1.304,17,17,17
helios_t40,2.226,17,17,17
helios_t50,3.711,17,17,17
helios_t60,5.411,17,17,17
helios_t70,6.602,17,17,17
helios_t80,7.107,17,17,17
helios_t90,9.570,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,1.024,17,17,17
hyacinth_preset_t20,0.994,17,17,17
hyacinth_preset_t30,1.012,17,17,17
hyacinth_preset_t40,1.025,17,17,17
hyacinth_preset_t50,1.015,17,17,17
hyacinth_preset_t60,1.017,17,17,17
hyacinth_preset_t70,1.064,17,17,17
hyacinth_preset_t80,1.154,17,17,17
hyacinth_preset_t90,1.242,17,17,17
