seed,scheduler,avg_relative_cct_vs_dynamic
42,helios_t10,1.196
42,helios_t20,1.074
42,helios_t30,1.008
42,helios_t40,1.122
42,helios_t50,1.382
42,helios_t60,1.391
42,helios_t70,1.755
42,helios_t80,1.753
42,helios_t90,2.136
42,hyacinth_dynamic,1.000
42,hyacinth_preset_t10,1.077
42,hyacinth_preset_t20,1.056
42,hyacinth_preset_t30,0.991
42,hyacinth_preset_t40,1.133
42,hyacinth_preset_t50,1.312
42,hyacinth_preset_t60,1.429
42,hyacinth_preset_t70,1.698
42,hyacinth_preset_t80,1.895
42,hyacinth_preset_t90,2.086
43,helios_t10,1.188
43,helios_t20,1.056
43,helios_t30,1.078
43,helios_t40,1.239
43,helios_t50,1.419
43,helios_t60,1.533
43,helios_t70,1.736
43,helios_t80,2.074
43,helios_t90,2.128
43,hyacinth_dynamic,1.000
43,hyacinth_preset_t10,1.091
43,hyacinth_preset_t20,1.064
43,hyacinth_preset_t30,1.048
43,hyacinth_preset_t40,1.159
43,hyacinth_preset_t50,1.374
43,hyacinth_preset_t60,1.655
43,hyacinth_preset_t70,1.824
43,hyacinth_preset_t80,2.120
43,hyacinth_preset_t90,2.351
44,helios_t10,1.295
44,helios_t20,1.189
44,helios_t30,1.174
44,helios_t40,1.227
44,helios_t50,1.414
44,helios_t60,1.761
44,helios_t70,2.000
44,helios_t80,2.169
44,helios_t90,2.315
44,hyacinth_dynamic,1.000
44,hyacinth_preset_t10,1.059
44,hyacinth_preset_t20,1.019
44,hyacinth_preset_t30,1.004
44,hyacinth_preset_t40,1.231
44,hyacinth_preset_t50,1.375
44,hyacinth_preset_t60,1.666
44,hyacinth_preset_t70,1.999
44,hyacinth_preset_t80,2.254
44,hyacinth_preset_t90,2.662
45,helios_t10,1.170
45,helios_t20,1.043
45,helios_t30,1.051
45,helios_t40,1.101
45,helios_t50,1.313
45,helios_t60,1.382
45,helios_t70,1.620
45,helios_t80,1.866
45,helios_t90,2.014
45,hyacinth_dynamic,1.000
45,hyacinth_preset_t10,1.009
45,hyacinth_preset_t20,1.035
45,hyacinth_preset_t30,1.001
45,hyacinth_preset_t40,1.053
45,hyacinth_preset_t50,1.323
45,hyacinth_preset_t60,1.424
45,hyacinth_preset_t70,1.680
45,hyacinth_preset_t80,1.949
45,hyacinth_preset_t90,2.092
46,helios_t10,1.318
46,helios_t20,1.061
46,helios_t30,1.121
46,helios_t40,1.177
46,helios_t50,1.442
46,helios_t60,1.704
46,helios_t70,1.998
46,helios_t80,2.195
46,helios_t90,2.294
46,hyacinth_dynamic,1.000
46,hyacinth_preset_t10,1.106
46,hyacinth_preset_t20,1.126
46,hyacinth_preset_t30,1.065
46,hyacinth_preset_t40,1.324
46,hyacinth_preset_t50,1.503
46,hyacinth_preset_t60,1.705
46,hyacinth_preset_t70,1.897
46,hyacinth_preset_t80,2.238
46,hyacinth_preset_t90,2.353
47,helios_t10,1.300
47,helios_t20,1.057
47,helios_t30,1.089
47,helios_t40,1.254
47,helios_t50,1.547
47,helios_t60,1.722
47,helios_t70,1.814
47,helios_t80,2.213
47,helios_t90,2.455
47,hyacinth_dynamic,1.000
47,hyacinth_preset_t10,1.101
47,hyacinth_preset_t20,1.039
47,hyacinth_preset_t30,1.090
47,hyacinth_preset_t40,1.232
47,hyacinth_preset_t50,1.405
47,hyacinth_preset_t60,1.652
47,hyacinth_preset_t70,1.932
47,hyacinth_preset_t80,2.158
47,hyacinth_preset_t90,2.423
48,helios_t10,1.146
48,helios_t20,1.135
48,helios_t30,1.052
48,helios_t40,1.236
48,helios_t50,1.343
48,helios_t60,1.508
48,helios_t70,1.685
48,helios_t80,1.839
48,helios_t90,1.999
48,hyacinth_dynamic,1.000
48,hyacinth_preset_t10,1.098
48,hyacinth_preset_t20,1.029
48,hyacinth_preset_t30,1.052
48,hyacinth_preset_t40,1.195
48,hyacinth_preset_t50,1.345
48,hyacinth_preset_t60,1.557
48,hyacinth_preset_t70,1.713
48,hyacinth_preset_t80,1.965
48,hyacinth_preset_t90,2.245
49,helios_t10,1.123
49,helios_t20,1.037
49,helios_t30,1.037
49,helios_t40,1.095
49,helios_t50,1.246
49,helios_t60,1.382
49,helios_t70,1.486
49,helios_t80,1.753
49,helios_t90,1.835
49,hyacinth_dynamic,1.000
49,hyacinth_preset_t10,1.050
49,hyacinth_preset_t20,1.007
49,hyacinth_preset_t30,1.029
49,hyacinth_preset_t40,1.117
49,hyacinth_preset_t50,1.292
49,hyacinth_preset_t60,1.403
49,hyacinth_preset_t70,1.616
49,hyacinth_preset_t80,1.897
49,hyacinth_preset_t90,1.915
50,helios_t10,1.369
50,helios_t20,1.213
50,helios_t30,1.145
50,helios_t40,1.400
50,helios_t50,1.587
50,helios_t60,1.802
50,helios_t70,2.096
50,helios_t80,2.315
50,helios_t90,2.505
50,hyacinth_dynamic,1.000
50,hyacinth_preset_t10,1.282
50,hyacinth_preset_t20,1.111
50,hyacinth_preset_t30,1.122
50,hyacinth_preset_t40,1.318
50,hyacinth_preset_t50,1.608
50,hyacinth_preset_t60,1.939
50,hyacinth_preset_t70,2.126
50,hyacinth_preset_t80,2.427
50,hyacinth_preset_t90,2.637
51,helios_t10,1.282
51,helios_t20,1.100
51,helios_t30,1.094
51,helios_t40,1.273
51,helios_t50,1.517
51,helios_t60,1.710
51,helios_t70,1.861
51,helios_t80,2.076
51,helios_t90,2.359
51,hyacinth_dynamic,1.000
51,hyacinth_preset_t10,1.141
51,hyacinth_preset_t20,1.007
51,hyacinth_preset_t30,1.091
51,hyacinth_preset_t40,1.127
51,hyacinth_preset_t50,1.371
51,hyacinth_preset_t60,1.573
51,hyacinth_preset_t70,1.873
51,hyacinth_preset_t80,2.291
51,hyacinth_preset_t90,2.496
