scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
helios_t10,10,1.239,0.079
helios_t20,10,1.097,0.059
helios_t30,10,1.085,0.048
helios_t40,10,1.212,0.088
helios_t50,10,1.421,0.102
helios_t60,10,1.589,0.160
helios_t70,10,1.805,0.179
helios_t80,10,2.025,0.195
helios_t90,10,2.204,0.206
hyacinth_dynamic,10,1.000,0.000
hyacinth_preset_t10,10,1.101,0.069
hyacinth_preset_t20,10,1.049,0.039
hyacinth_preset_t30,10,1.049,0.041
hyacinth_preset_t40,10,1.189,0.084
hyacinth_preset_t50,10,1.391,0.091
hyacinth_preset_t60,10,1.600,0.154
hyacinth_preset_t70,10,1.836,0.152
hyacinth_preset_t80,10,2.119,0.176
hyacinth_preset_t90,10,2.326,0.232
