seed,scheduler,avg_relative_cct_vs_dynamic
42,helios_t10,1.579
42,helios_t20,1.162
42,helios_t30,1.082
42,helios_t40,1.071
42,helios_t50,1.307
42,helios_t60,1.290
42,helios_t70,2.198
42,helios_t80,1.687
42,helios_t90,1.780
42,hyacinth_dynamic,1.000
42,hyacinth_preset_t10,1.130
42,hyacinth_preset_t20,1.276
42,hyacinth_preset_t30,1.145
42,hyacinth_preset_t40,1.196
42,hyacinth_preset_t50,1.499
42,hyacinth_preset_t60,1.650
42,hyacinth_preset_t70,2.003
42,hyacinth_preset_t80,2.077
42,hyacinth_preset_t90,2.364
43,helios_t10,1.225
43,helios_t20,1.033
43,helios_t30,0.979
43,helios_t40,1.238
43,helios_t50,1.539
43,helios_t60,0.986
43,helios_t70,1.171
43,helios_t80,1.896
43,helios_t90,1.562
43,hyacinth_dynamic,1.000
43,hyacinth_preset_t10,1.156
43,hyacinth_preset_t20,0.936
43,hyacinth_preset_t30,1.306
43,hyacinth_preset_t40,0.956
43,hyacinth_preset_t50,1.073
43,hyacinth_preset_t60,1.282
43,hyacinth_preset_t70,1.322
43,hyacinth_preset_t80,1.804
43,hyacinth_preset_t90,1.759
44,helios_t10,1.430
44,helios_t20,1.000
44,helios_t30,1.269
44,helios_t40,0.857
44,helios_t50,1.055
44,helios_t60,1.334
44,helios_t70,2.709
44,helios_t80,1.506
44,helios_t90,1.796
44,hyacinth_dynamic,1.000
44,hyacinth_preset_t10,0.820
44,hyacinth_preset_t20,0.839
44,hyacinth_preset_t30,0.892
44,hyacinth_preset_t40,0.957
44,hyacinth_preset_t50,1.105
44,hyacinth_preset_t60,1.466
44,hyacinth_preset_t70,1.650
44,hyacinth_preset_t80,1.796
44,hyacinth_preset_t90,2.262
45,helios_t10,1.219
45,helios_t20,1.073
45,helios_t30,1.123
45,helios_t40,0.970
45,helios_t50,0.937
45,helios_t60,1.174
45,helios_t70,1.185
45,helios_t80,1.524
45,helios_t90,1.616
45,hyacinth_dynamic,1.000
45,hyacinth_preset_t10,1.042
45,hyacinth_preset_t20,0.991
45,hyacinth_preset_t30,0.929
45,hyacinth_preset_t40,1.011
45,hyacinth_preset_t50,1.054
45,hyacinth_preset_t60,1.157
45,hyacinth_preset_t70,1.193
45,hyacinth_preset_t80,1.532
45,hyacinth_preset_t90,1.592
46,helios_t10,1.144
46,helios_t20,1.081
46,helios_t30,1.041
46,helios_t40,0.859
46,helios_t50,1.127
46,helios_t60,1.401
46,helios_t70,1.857
46,helios_t80,1.914
46,helios_t90,1.793
46,hyacinth_dynamic,1.000
46,hyacinth_preset_t10,0.915
46,hyacinth_preset_t20,1.139
46,hyacinth_preset_t30,1.113
46,hyacinth_preset_t40,1.264
46,hyacinth_preset_t50,1.240
46,hyacinth_preset_t60,1.592
46,hyacinth_preset_t70,1.608
46,hyacinth_preset_t80,1.835
46,hyacinth_preset_t90,1.921
47,helios_t10,1.252
47,helios_t20,0.984
47,helios_t30,1.245
47,helios_t40,0.898
47,helios_t50,1.228
47,helios_t60,1.519
47,helios_t70,1.514
47,helios_t80,1.601
47,helios_t90,1.869
47,hyacinth_dynamic,1.000
47,hyacinth_preset_t10,0.984
47,hyacinth_preset_t20,1.078
47,hyacinth_preset_t30,1.071
47,hyacinth_preset_t40,1.343
47,hyacinth_preset_t50,1.448
47,hyacinth_preset_t60,1.378
47,hyacinth_preset_t70,1.602
47,hyacinth_preset_t80,2.239
47,hyacinth_preset_t90,1.672
48,helios_t10,0.783
48,helios_t20,0.830
48,helios_t30,0.725
48,helios_t40,0.833
48,helios_t50,0.824
48,helios_t60,0.934
48,helios_t70,1.150
48,helios_t80,1.271
48,helios_t90,1.238
48,hyacinth_dynamic,1.000
48,hyacinth_preset_t10,0.793
48,hyacinth_preset_t20,0.751
48,hyacinth_preset_t30,0.856
48,hyacinth_preset_t40,0.904
48,hyacinth_preset_t50,0.885
48,hyacinth_preset_t60,0.863
48,hyacinth_preset_t70,1.080
48,hyacinth_preset_t80,1.176
48,hyacinth_preset_t90,1.405
49,helios_t10,1.013
49,helios_t20,0.919
49,helios_t30,0.963
49,helios_t40,1.058
49,helios_t50,1.065
49,helios_t60,1.054
49,helios_t70,1.155
49,helios_t80,1.414
49,helios_t90,1.357
49,hyacinth_dynamic,1.000
49,hyacinth_preset_t10,0.939
49,hyacinth_preset_t20,1.319
49,hyacinth_preset_t30,1.050
49,hyacinth_preset_t40,1.223
49,hyacinth_preset_t50,1.013
49,hyacinth_preset_t60,1.274
49,hyacinth_preset_t70,1.441
49,hyacinth_preset_t80,1.616
49,hyacinth_preset_t90,1.535
50,helios_t10,1.049
50,helios_t20,1.200
50,helios_t30,1.041
50,helios_t40,1.258
50,helios_t50,1.265
50,helios_t60,1.375
50,helios_t70,1.917
50,helios_t80,2.204
50,helios_t90,2.209
50,hyacinth_dynamic,1.000
50,hyacinth_preset_t10,1.286
50,hyacinth_preset_t20,0.965
50,hyacinth_preset_t30,1.153
50,hyacinth_preset_t40,1.551
50,hyacinth_preset_t50,1.459
