scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
helios_t10,10,1.180,0.210
helios_t20,10,1.015,0.114
helios_t30,10,1.034,0.154
helios_t40,10,1.009,0.146
helios_t50,10,1.158,0.192
helios_t60,10,1.229,0.182
helios_t70,10,1.605,0.518
helios_t80,10,1.678,0.261
helios_t90,10,1.706,0.262
hyacinth_dynamic,10,1.000,0.000
hyacinth_preset_t10,10,0.989,0.155
hyacinth_preset_t20,10,1.012,0.180
hyacinth_preset_t30,10,1.051,0.130
hyacinth_preset_t40,10,1.119,0.223
hyacinth_preset_t50,10,1.178,0.208
hyacinth_preset_t60,10,1.377,0.279
hyacinth_preset_t70,10,1.514,0.274
hyacinth_preset_t80,10,1.776,0.301
hyacinth_preset_t90,10,1.876,0.317
