seed,scheduler,avg_relative_fct_vs_dynamic
42,helios_t10,0.997
42,helios_t20,1.079
42,helios_t30,1.192
42,helios_t40,1.353
42,helios_t50,5.414
42,helios_t60,25.064
42,helios_t70,27.921
42,helios_t80,9.467
42,helios_t90,8.428
42,hyacinth_dynamic,1.000
42,hyacinth_preset_t10,0.990
42,hyacinth_preset_t20,0.999
42,hyacinth_preset_t30,1.005
42,hyacinth_preset_t40,1.011
42,hyacinth_preset_t50,1.020
42,hyacinth_preset_t60,1.035
42,hyacinth_preset_t70,1.073
42,hyacinth_preset_t80,1.104
42,hyacinth_preset_t90,1.257
43,helios_t10,0.949
43,helios_t20,1.126
43,helios_t30,1.976
43,helios_t40,2.232
43,helios_t50,17.143
43,helios_t60,24.003
43,helios_t70,4.778
43,helios_t80,19.933
43,helios_t90,6.743
43,hyacinth_dynamic,1.000
43,hyacinth_preset_t10,1.042
43,hyacinth_preset_t20,1.015
43,hyacinth_preset_t30,1.031
43,hyacinth_preset_t40,1.018
43,hyacinth_preset_t50,1.014
43,hyacinth_preset_t60,1.041
43,hyacinth_preset_t70,1.135
43,hyacinth_preset_t80,1.193
43,hyacinth_preset_t90,1.374
44,helios_t10,1.041
44,helios_t20,1.441
44,helios_t30,2.610
44,helios_t40,2.878
44,helios_t50,3.969
44,helios_t60,19.084
44,helios_t70,5.604
44,helios_t80,19.267
44,helios_t90,11.166
44,hyacinth_dynamic,1.000
44,hyacinth_preset_t10,1.055
44,hyacinth_preset_t20,1.039
44,hyacinth_preset_t30,1.036
44,hyacinth_preset_t40,1.026
44,hyacinth_preset_t50,1.004
44,hyacinth_preset_t60,1.043
44,hyacinth_preset_t70,1.117
44,hyacinth_preset_t80,1.254
44,hyacinth_preset_t90,1.407
45,helios_t10,0.903
45,helios_t20,1.082
45,helios_t30,1.457
45,helios_t40,2.427
45,helios_t50,2.789
45,helios_t60,5.130
45,helios_t70,5.183
45,helios_t80,9.842
45,helios_t90,6.890
45,hyacinth_dynamic,1.000
45,hyacinth_preset_t10,0.989
45,hyacinth_preset_t20,1.001
45,hyacinth_preset_t30,0.994
45,hyacinth_preset_t40,1.009
45,hyacinth_preset_t50,0.985
45,hyacinth_preset_t60,1.017
45,hyacinth_preset_t70,1.092
45,hyacinth_preset_t80,1.182
45,hyacinth_preset_t90,1.363
46,helios_t10,0.980
46,helios_t20,1.206
46,helios_t30,1.411
46,helios_t40,1.766
46,helios_t50,6.577
46,helios_t60,34.499
46,helios_t70,9.627
46,helios_t80,31.471
46,helios_t90,7.143
46,hyacinth_dynamic,1.000
46,hyacinth_preset_t10,1.060
46,hyacinth_preset_t20,1.021
46,hyacinth_preset_t30,1.025
46,hyacinth_preset_t40,1.022
46,hyacinth_preset_t50,0.999
46,hyacinth_preset_t60,1.043
46,hyacinth_preset_t70,1.066
46,hyacinth_preset_t80,1.210
46,hyacinth_preset_t90,1.338
47,helios_t10,0.977
47,helios_t20,1.179
47,helios_t30,1.471
47,helios_t40,2.655
47,helios_t50,3.743
47,helios_t60,6.204
47,helios_t70,8.862
47,helios_t80,5.805
47,helios_t90,26.667
47,hyacinth_dynamic,1.000
47,hyacinth_preset_t10,1.055
47,hyacinth_preset_t20,1.034
47,hyacinth_preset_t30,1.043
47,hyacinth_preset_t40,1.009
47,hyacinth_preset_t50,0.984
47,hyacinth_preset_t60,1.018
47,hyacinth_preset_t70,1.058
47,hyacinth_preset_t80,1.154
47,hyacinth_preset_t90,1.402
48,helios_t10,0.988
48,helios_t20,1.153
48,helios_t30,1.792
48,helios_t40,40.571
48,helios_t50,43.593
48,helios_t60,68.281
48,helios_t70,45.077
48,helios_t80,65.995
48,helios_t90,43.532
48,hyacinth_dynamic,1.000
48,hyacinth_preset_t10,1.014
48,hyacinth_preset_t20,1.005
48,hyacinth_preset_t30,0.984
48,hyacinth_preset_t40,0.980
48,hyacinth_preset_t50,0.984
48,hyacinth_preset_t60,1.027
48,hyacinth_preset_t70,1.074
48,hyacinth_preset_t80,1.192
48,hyacinth_preset_t90,1.386
49,helios_t10,0.927
49,helios_t20,1.040
49,helios_t30,1.304
49,helios_t40,2.226
49,helios_t50,3.711
49,helios_t60,5.411
49,helios_t70,6.602
49,helios_t80,7.107
49,helios_t90,9.570
49,hyacinth_dynamic,1.000
49,hyacinth_preset_t10,1.024
49,hyacinth_preset_t20,0.994
49,hyacinth_preset_t30,1.012
49,hyacinth_preset_t40,1.025
49,hyacinth_preset_t50,1.015
49,hyacinth_preset_t60,1.017
49,hyacinth_preset_t70,1.064
49,hyacinth_preset_t80,1.154
49,hyacinth_preset_t90,1.242
50,helios_t10,0.977
50,helios_t20,1.455
50,helios_t30,1.921
50,helios_t40,8.330
50,helios_t50,3.977
50,helios_t60,8.575
