seed,scheduler,avg_solve_time_ms
42,helios_t10,0.000
42,helios_t20,0.000
42,helios_t30,0.000
42,helios_t40,0.000
42,helios_t50,0.000
42,helios_t60,0.000
42,helios_t70,0.000
42,helios_t80,0.000
42,helios_t90,0.000
42,hyacinth_dynamic,0.217
42,hyacinth_preset_t10,0.218
42,hyacinth_preset_t20,0.170
42,hyacinth_preset_t30,0.191
42,hyacinth_preset_t40,0.164
42,hyacinth_preset_t50,0.136
42,hyacinth_preset_t60,0.174
42,hyacinth_preset_t70,0.192
42,hyacinth_preset_t80,0.149
42,hyacinth_preset_t90,0.203
43,helios_t10,0.000
43,helios_t20,0.000
43,helios_t30,0.000
43,helios_t40,0.000
43,helios_t50,0.000
43,helios_t60,0.000
43,helios_t70,0.000
43,helios_t80,0.000
43,helios_t90,0.000
43,hyacinth_dynamic,0.285
43,hyacinth_preset_t10,0.209
43,hyacinth_preset_t20,0.125
43,hyacinth_preset_t30,0.167
43,hyacinth_preset_t40,0.135
43,hyacinth_preset_t50,0.170
43,hyacinth_preset_t60,0.140
43,hyacinth_preset_t70,0.185
43,hyacinth_preset_t80,0.193
43,hyacinth_preset_t90,0.205
44,helios_t10,0.000
44,helios_t20,0.000
44,helios_t30,0.000
44,helios_t40,0.000
44,helios_t50,0.000
44,helios_t60,0.000
44,helios_t70,0.000
44,helios_t80,0.000
44,helios_t90,0.000
44,hyacinth_dynamic,0.292
44,hyacinth_preset_t10,0.278
44,hyacinth_preset_t20,0.168
44,hyacinth_preset_t30,0.189
44,hyacinth_preset_t40,0.161
44,hyacinth_preset_t50,0.169
44,hyacinth_preset_t60,0.181
44,hyacinth_preset_t70,0.188
44,hyacinth_preset_t80,0.187
44,hyacinth_preset_t90,0.203
45,helios_t10,0.000
45,helios_t20,0.000
45,helios_t30,0.000
45,helios_t40,0.000
45,helios_t50,0.000
45,helios_t60,0.000
45,helios_t70,0.000
45,helios_t80,0.000
45,helios_t90,0.000
45,hyacinth_dynamic,0.318
45,hyacinth_preset_t10,0.155
45,hyacinth_preset_t20,0.171
45,hyacinth_preset_t30,0.190
45,hyacinth_preset_t40,0.160
45,hyacinth_preset_t50,0.170
45,hyacinth_preset_t60,0.175
45,hyacinth_preset_t70,0.185
45,hyacinth_preset_t80,0.190
45,hyacinth_preset_t90,0.191
46,helios_t10,0.000
46,helios_t20,0.000
46,helios_t30,0.000
46,helios_t40,0.000
46,helios_t50,0.000
46,helios_t60,0.000
46,helios_t70,0.000
46,helios_t80,0.000
46,helios_t90,0.000
46,hyacinth_dynamic,0.236
46,hyacinth_preset_t10,0.255
