scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
helios_t10,10,0.000,0.000
helios_t20,10,0.000,0.000
helios_t30,10,0.000,0.000
helios_t40,10,0.000,0.000
helios_t50,10,0.000,0.000
helios_t60,10,0.000,0.000
helios_t70,10,0.000,0.000
helios_t80,10,0.000,0.000
helios_t90,10,0.000,0.000
hyacinth_dynamic,10,0.309,0.059
hyacinth_preset_t10,10,0.230,0.039
hyacinth_preset_t20,10,0.159,0.019
hyacinth_preset_t30,10,0.172,0.018
hyacinth_preset_t40,10,0.160,0.014
hyacinth_preset_t50,10,0.171,0.014
hyacinth_preset_t60,10,0.204,0.092
hyacinth_preset_t70,10,0.188,0.006
hyacinth_preset_t80,10,0.181,0.017
hyacinth_preset_t90,10,0.197,0.015
