case_tag,seed,model_mix,frag,load,nrack,workload,status,run_dir
threshold_sweep_seed42,42,"3L,2M,1S",0.5,0.5,40,fbcoco,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_threshold_sweep/threshold_sweep/batch_20260524_211104_threshold_sweep_80tor/_threshold_seed_rollup/threshold_sweep/seed_42
threshold_sweep_seed43,43,"3L,2M,1S",0.5,0.5,40,fbcoco,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_threshold_sweep/threshold_sweep/batch_20260524_211104_threshold_sweep_80tor/_threshold_seed_rollup/threshold_sweep/seed_43
threshold_sweep_seed44,44,"3L,2M,1S",0.5,0.5,40,fbcoco,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_threshold_sweep/threshold_sweep/batch_20260524_211104_threshold_sweep_80tor/_threshold_seed_rollup/threshold_sweep/seed_44
threshold_sweep_seed45,45,"3L,2M,1S",0.5,0.5,40,fbcoco,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_threshold_sweep/threshold_sweep/batch_20260524_211104_threshold_sweep_80tor/_threshold_seed_rollup/threshold_sweep/seed_45
threshold_sweep_seed46,46,"3L,2M,1S",0.5,0.5,40,fbcoco,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_threshold_sweep/threshold_sweep/batch_20260524_211104_threshold_sweep_80tor/_threshold_seed_rollup/threshold_sweep/seed_46
threshold_sweep_seed47,47,"3L,2M,1S",0.5,0.5,40,fbcoco,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_threshold_sweep/threshold_sweep/batch_20260524_211104_threshold_sweep_80tor/_threshold_seed_rollup/threshold_sweep/seed_47
threshold_sweep_seed48,48,"3L,2M,1S",0.5,0.5,40,fbcoco,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_threshold_sweep/threshold_sweep/batch_20260524_211104_threshold_sweep_80tor/_threshold_seed_rollup/threshold_sweep/seed_48
threshold_sweep_seed49,49,"3L,2M,1S",0.5,0.5,40,fbcoco,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_threshold_sweep/threshold_sweep/batch_20260524_211104_threshold_sweep_80tor/_threshold_seed_rollup/threshold_sweep/seed_49
threshold_sweep_seed50,50,"3L,2M,1S",0.5,0.5,40,fbcoco,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_threshold_sweep/threshold_sweep/batch_20260524_211104_threshold_sweep_80tor/_threshold_seed_rollup/threshold_sweep/seed_50
threshold_sweep_seed51,51,"3L,2M,1S",0.5,0.5,40,fbcoco,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_threshold_sweep/threshold_sweep/batch_20260524_211104_threshold_sweep_80tor/_threshold_seed_rollup/threshold_sweep/seed_51
