scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
helios_t10,100.0,1052.277,1.295,1052.277,1.295,80,0
helios_t20,100.0,966.734,1.189,966.734,1.189,80,0
helios_t30,100.0,954.442,1.174,954.442,1.174,80,0
helios_t40,100.0,997.047,1.227,997.047,1.227,80,0
helios_t50,100.0,1149.162,1.414,1149.162,1.414,80,0
helios_t60,100.0,1431.133,1.761,1431.133,1.761,80,0
helios_t70,100.0,1625.202,2.000,1625.202,2.000,80,0
helios_t80,100.0,1762.482,2.169,1762.482,2.169,80,0
helios_t90,100.0,1881.420,2.315,1881.420,2.315,80,0
hyacinth_dynamic,100.0,812.749,1.000,812.749,1.000,80,0
hyacinth_preset_t10,100.0,860.538,1.059,860.538,1.059,80,0
hyacinth_preset_t20,100.0,828.280,1.019,828.280,1.019,80,0
hyacinth_preset_t30,100.0,815.774,1.004,815.774,1.004,80,0
hyacinth_preset_t40,100.0,1000.657,1.231,1000.657,1.231,80,0
hyacinth_preset_t50,100.0,1117.258,1.375,1117.258,1.375,80,0
hyacinth_preset_t60,100.0,1354.376,1.666,1354.376,1.666,80,0
hyacinth_preset_t70,100.0,1624.440,1.999,1624.440,1.999,80,0
hyacinth_preset_t80,100.0,1831.596,2.254,1831.596,2.254,80,0
hyacinth_preset_t90,100.0,2163.742,2.662,2163.742,2.662,80,0
