scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,0.903,17,17,17
helios_t20,1.082,17,17,17
helios_t30,1.457,17,17,17
helios_t40,2.427,17,17,17
helios_t50,2.789,17,17,17
helios_t60,5.130,17,17,17
helios_t70,5.183,17,17,17
helios_t80,9.842,17,17,17
helios_t90,6.890,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,0.989,17,17,17
hyacinth_preset_t20,1.001,17,17,17
hyacinth_preset_t30,0.994,17,17,17
hyacinth_preset_t40,1.009,17,17,17
hyacinth_preset_t50,0.985,17,17,17
hyacinth_preset_t60,1.017,17,17,17
hyacinth_preset_t70,1.092,17,17,17
hyacinth_preset_t80,1.182,17,17,17
hyacinth_preset_t90,1.363,17,17,17
