scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
helios_t10,100.0,2199.741,0.681,2199.741,0.681,80,0
helios_t20,100.0,2421.128,0.749,2421.128,0.749,80,0
helios_t30,100.0,1984.675,0.614,1984.675,0.614,80,0
helios_t40,100.0,2427.066,0.751,2427.066,0.751,80,0
helios_t50,100.0,2466.538,0.763,2466.538,0.763,80,0
helios_t60,100.0,2682.736,0.830,2682.736,0.830,80,0
helios_t70,100.0,4090.710,1.266,4090.710,1.266,80,0
helios_t80,100.0,3703.660,1.146,3703.660,1.146,80,0
helios_t90,100.0,3348.818,1.036,3348.818,1.036,80,0
hyacinth_dynamic,100.0,3231.895,1.000,3231.895,1.000,80,0
hyacinth_preset_t10,100.0,2363.009,0.731,2363.009,0.731,80,0
hyacinth_preset_t20,100.0,2193.734,0.679,2193.734,0.679,80,0
hyacinth_preset_t30,100.0,2535.805,0.785,2535.805,0.785,80,0
hyacinth_preset_t40,100.0,2499.131,0.773,2499.131,0.773,80,0
hyacinth_preset_t50,100.0,2434.990,0.753,2434.990,0.753,80,0
hyacinth_preset_t60,100.0,2521.722,0.780,2521.722,0.780,80,0
hyacinth_preset_t70,100.0,4256.200,1.317,4256.200,1.317,80,0
hyacinth_preset_t80,100.0,3699.834,1.145,3699.834,1.145,80,0
hyacinth_preset_t90,100.0,4263.453,1.319,4263.453,1.319,80,0
