scheduler,bytes,fct_ms,num_flows_in_bin
helios_t10,100.000000,0.008377,80
helios_t10,1000.000000,0.005413,80
helios_t10,10000.000000,0.068854,72
helios_t10,20000.000000,0.135826,192
helios_t10,30000.000000,0.207448,40
helios_t10,100000.000000,0.788523,248
helios_t10,200000.000000,1.546009,632
helios_t10,300000.000000,2.085897,800
helios_t10,400000.000000,2.977310,976
helios_t10,800000.000000,21.599289,3208
helios_t10,1000000.000000,35.319372,1640
helios_t10,2000000.000000,70.310693,5424
helios_t10,3000000.000000,81.841235,3512
helios_t10,10000000.000000,118.267257,6128
helios_t10,20000000.000000,154.362423,3976
helios_t10,30000000.000000,221.460203,2136
helios_t10,100000000.000000,318.191023,1064
helios_t20,100.000000,0.008585,80
helios_t20,1000.000000,0.005652,80
helios_t20,10000.000000,0.076836,72
helios_t20,20000.000000,0.137539,192
helios_t20,30000.000000,0.350298,40
helios_t20,100000.000000,0.943119,248
helios_t20,200000.000000,1.835258,632
helios_t20,300000.000000,2.496675,800
helios_t20,400000.000000,3.536039,976
helios_t20,800000.000000,40.615184,3208
helios_t20,1000000.000000,69.374176,1640
helios_t20,2000000.000000,86.888514,5424
helios_t20,3000000.000000,96.053021,3512
helios_t20,10000000.000000,117.322451,6128
helios_t20,20000000.000000,127.596283,3976
helios_t20,30000000.000000,150.616919,2136
helios_t20,100000000.000000,260.949195,1064
helios_t30,100.000000,0.015675,80
helios_t30,1000.000000,0.008086,80
helios_t30,10000.000000,0.114008,72
helios_t30,20000.000000,0.146153,192
helios_t30,30000.000000,0.462765,40
helios_t30,100000.000000,1.283866,248
helios_t30,200000.000000,2.529177,632
helios_t30,300000.000000,2.871931,800
helios_t30,400000.000000,5.842365,976
helios_t30,800000.000000,57.764768,3208
helios_t30,1000000.000000,78.693106,1640
helios_t30,2000000.000000,98.334029,5424
helios_t30,3000000.000000,107.845502,3512
helios_t30,10000000.000000,137.442069,6128
helios_t30,20000000.000000,126.504246,3976
helios_t30,30000000.000000,128.726380,2136
helios_t30,100000000.000000,191.856249,1064
helios_t40,100.000000,0.014618,80
helios_t40,1000.000000,0.006121,80
helios_t40,10000.000000,0.108858,72
helios_t40,20000.000000,0.165330,192
helios_t40,30000.000000,0.446820,40
helios_t40,100000.000000,1.340029,248
helios_t40,200000.000000,12.085888,632
helios_t40,300000.000000,16.121755,800
helios_t40,400000.000000,11.367390,976
helios_t40,800000.000000,71.020836,3208
helios_t40,1000000.000000,93.524887,1640
helios_t40,2000000.000000,105.137118,5424
helios_t40,3000000.000000,112.977828,3512
helios_t40,10000000.000000,197.849862,6128
helios_t40,20000000.000000,145.096485,3976
helios_t40,30000000.000000,123.783758,2136
helios_t40,100000000.000000,153.154312,1064
helios_t50,100.000000,0.011238,80
helios_t50,1000.000000,0.009740,80
helios_t50,10000.000000,0.124521,72
helios_t50,20000.000000,0.199681,192
helios_t50,30000.000000,0.374621,40
helios_t50,100000.000000,2.276088,248
helios_t50,200000.000000,26.524908,632
helios_t50,300000.000000,25.185106,800
helios_t50,400000.000000,34.742316,976
helios_t50,800000.000000,76.267081,3208
helios_t50,1000000.000000,93.162357,1640
helios_t50,2000000.000000,111.026083,5424
helios_t50,3000000.000000,119.168325,3512
helios_t50,10000000.000000,214.911160,6128
helios_t50,20000000.000000,218.586903,3976
helios_t50,30000000.000000,122.100680,2136
helios_t50,100000000.000000,141.178774,1064
helios_t60,100.000000,0.013681,80
helios_t60,1000.000000,0.008875,80
helios_t60,10000.000000,0.116366,72
helios_t60,20000.000000,0.249577,192
helios_t60,30000.000000,0.296575,40
helios_t60,100000.000000,1.689158,248
helios_t60,200000.000000,56.925216,632
helios_t60,300000.000000,33.457667,800
helios_t60,400000.000000,42.909760,976
helios_t60,800000.000000,89.618929,3208
helios_t60,1000000.000000,95.804061,1640
helios_t60,2000000.000000,111.904826,5424
helios_t60,3000000.000000,126.224420,3512
helios_t60,10000000.000000,245.954544,6128
helios_t60,20000000.000000,270.123006,3976
helios_t60,30000000.000000,152.861461,2136
helios_t60,100000000.000000,118.052334,1064
helios_t70,100.000000,0.011894,80
helios_t70,1000.000000,0.014058,80
helios_t70,10000.000000,0.133655,72
helios_t70,20000.000000,0.171677,192
helios_t70,30000.000000,0.273453,40
helios_t70,100000.000000,1.558013,248
helios_t70,200000.000000,62.961621,632
helios_t70,300000.000000,66.158509,800
helios_t70,400000.000000,41.343249,976
helios_t70,800000.000000,92.421424,3208
helios_t70,1000000.000000,97.234244,1640
helios_t70,2000000.000000,118.996422,5424
helios_t70,3000000.000000,141.561870,3512
helios_t70,10000000.000000,257.751932,6128
helios_t70,20000000.000000,307.244381,3976
helios_t70,30000000.000000,286.944283,2136
helios_t70,100000000.000000,115.213672,1064
helios_t80,100.000000,0.011175,80
helios_t80,1000.000000,0.011690,80
helios_t80,10000.000000,0.122577,72
helios_t80,20000.000000,0.199582,192
helios_t80,30000.000000,0.278113,40
helios_t80,100000.000000,1.693337,248
helios_t80,200000.000000,50.843933,632
helios_t80,300000.000000,74.545500,800
helios_t80,400000.000000,74.642341,976
helios_t80,800000.000000,96.471407,3208
helios_t80,1000000.000000,105.858092,1640
helios_t80,2000000.000000,129.302119,5424
helios_t80,3000000.000000,165.448116,3512
helios_t80,10000000.000000,269.230630,6128
helios_t80,20000000.000000,334.567688,3976
helios_t80,30000000.000000,342.119620,2136
helios_t80,100000000.000000,165.804045,1064
helios_t90,100.000000,0.015082,80
helios_t90,1000.000000,0.008602,80
helios_t90,10000.000000,0.149703,72
helios_t90,20000.000000,0.210776,192
helios_t90,30000.000000,0.413194,40
helios_t90,100000.000000,16.844772,248
helios_t90,200000.000000,75.273833,632
helios_t90,300000.000000,96.939738,800
helios_t90,400000.000000,55.413224,976
helios_t90,800000.000000,100.252473,3208
helios_t90,1000000.000000,110.115685,1640
helios_t90,2000000.000000,125.219267,5424
helios_t90,3000000.000000,181.925560,3512
helios_t90,10000000.000000,280.803039,6128
helios_t90,20000000.000000,353.705960,3976
helios_t90,30000000.000000,418.652745,2136
helios_t90,100000000.000000,475.850603,1064
hyacinth_dynamic,100.000000,0.009260,80
hyacinth_dynamic,1000.000000,0.006575,80
hyacinth_dynamic,10000.000000,0.084247,72
hyacinth_dynamic,20000.000000,0.126816,192
hyacinth_dynamic,30000.000000,0.219850,40
hyacinth_dynamic,100000.000000,0.851132,248
hyacinth_dynamic,200000.000000,1.403668,632
hyacinth_dynamic,300000.000000,2.145299,800
hyacinth_dynamic,400000.000000,2.749086,976
hyacinth_dynamic,800000.000000,52.859225,3208
hyacinth_dynamic,1000000.000000,77.080122,1640
hyacinth_dynamic,2000000.000000,88.758390,5424
hyacinth_dynamic,3000000.000000,95.366240,3512
hyacinth_dynamic,10000000.000000,122.533138,6128
hyacinth_dynamic,20000000.000000,144.260089,3976
hyacinth_dynamic,30000000.000000,191.839728,2136
hyacinth_dynamic,100000000.000000,226.641149,1064
hyacinth_preset_t10,100.000000,0.009826,80
hyacinth_preset_t10,1000.000000,0.008748,80
hyacinth_preset_t10,10000.000000,0.080883,72
hyacinth_preset_t10,20000.000000,0.122294,192
hyacinth_preset_t10,30000.000000,0.198682,40
hyacinth_preset_t10,100000.000000,0.808790,248
hyacinth_preset_t10,200000.000000,1.490727,632
hyacinth_preset_t10,300000.000000,2.146953,800
hyacinth_preset_t10,400000.000000,3.118129,976
hyacinth_preset_t10,800000.000000,44.603279,3208
hyacinth_preset_t10,1000000.000000,69.247620,1640
hyacinth_preset_t10,2000000.000000,86.720484,5424
hyacinth_preset_t10,3000000.000000,95.815675,3512
hyacinth_preset_t10,10000000.000000,121.142768,6128
hyacinth_preset_t10,20000000.000000,153.589143,3976
hyacinth_preset_t10,30000000.000000,219.929717,2136
hyacinth_preset_t10,100000000.000000,252.265443,1064
hyacinth_preset_t20,100.000000,0.009954,80
hyacinth_preset_t20,1000.000000,0.007242,80
hyacinth_preset_t20,10000.000000,0.069301,72
hyacinth_preset_t20,20000.000000,0.141877,192
hyacinth_preset_t20,30000.000000,0.217343,40
hyacinth_preset_t20,100000.000000,0.799438,248
hyacinth_preset_t20,200000.000000,1.478168,632
hyacinth_preset_t20,300000.000000,2.189741,800
hyacinth_preset_t20,400000.000000,3.004310,976
hyacinth_preset_t20,800000.000000,42.509829,3208
hyacinth_preset_t20,1000000.000000,71.788932,1640
hyacinth_preset_t20,2000000.000000,90.629380,5424
hyacinth_preset_t20,3000000.000000,95.353571,3512
hyacinth_preset_t20,10000000.000000,120.846307,6128
hyacinth_preset_t20,20000000.000000,141.971687,3976
hyacinth_preset_t20,30000000.000000,180.859960,2136
hyacinth_preset_t20,100000000.000000,230.433875,1064
hyacinth_preset_t30,100.000000,0.009553,80
hyacinth_preset_t30,1000.000000,0.007289,80
hyacinth_preset_t30,10000.000000,0.071723,72
hyacinth_preset_t30,20000.000000,0.133601,192
hyacinth_preset_t30,30000.000000,0.255406,40
hyacinth_preset_t30,100000.000000,0.773833,248
hyacinth_preset_t30,200000.000000,1.517076,632
hyacinth_preset_t30,300000.000000,2.101806,800
hyacinth_preset_t30,400000.000000,2.925887,976
hyacinth_preset_t30,800000.000000,52.303374,3208
hyacinth_preset_t30,1000000.000000,70.922682,1640
hyacinth_preset_t30,2000000.000000,90.023311,5424
hyacinth_preset_t30,3000000.000000,97.023643,3512
hyacinth_preset_t30,10000000.000000,120.275007,6128
hyacinth_preset_t30,20000000.000000,144.289360,3976
hyacinth_preset_t30,30000000.000000,179.240373,2136
hyacinth_preset_t30,100000000.000000,249.427953,1064
hyacinth_preset_t40,100.000000,0.009754,80
hyacinth_preset_t40,1000.000000,0.007551,80
hyacinth_preset_t40,10000.000000,0.083146,72
