model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,36,0.500000,"[0,1,2,9,12,13,14,15,16,18,19,20,22,24,26,28,30,31,32,34,40,43,48,53,55,57,58,60,63,65,66,72,73,76,77,78]","[255,580,151,391,447,4,167,7]|[159,247,111,591,183,119,23,198]|[215,351,127,134,615,263,487,431]|[5,461,231,103,110,460,245,390]|[470,582,350,583,279,135,462,166]|[327,246,623,535,631,77,471,430]|[199,182,590,244,581,613,463,527]|[181,614,6,15,511,78,79,133]"
L2,L,64,8,64,36,0.500000,"[0,1,2,5,6,7,8,9,10,13,14,16,20,21,23,24,29,31,34,37,42,45,49,50,51,56,60,61,64,67,69,70,73,75,77,79]","[21,2,197,622,495,165,174,108]|[567,519,118,605,301,47,484,559]|[109,237,20,55,132,3,303,254]|[541,367,485,71,87,407,300,540]|[239,604,543,399,13,342,86,238]|[173,22,76,455,191,639,14,63]|[542,302,164,131,175,518,341,486]|[253,606,607,343,589,415,366,278]"
L3,L,64,8,64,36,0.500000,"[8,9,10,11,13,17,20,21,23,25,26,27,28,30,34,38,39,41,45,46,48,50,51,52,53,54,55,59,62,64,65,67,70,71,73,78]","[479,334,517,222,230,70,630,588]|[73,142,171,190,375,525,503,214]|[107,388,172,575,84,212,429,221]|[75,423,333,85,95,364,414,74]|[223,317,365,538,311,229,277,516]|[242,389,206,243,143,438,213,207]|[566,319,422,413,446,406,539,318]|[502,524,387,335,526,439,629,163]"
L4,L,64,8,64,36,0.500000,"[1,4,8,12,14,15,19,20,21,31,33,36,37,39,41,43,44,46,47,48,49,50,51,58,59,62,64,65,66,67,68,73,75,76,78,79]","[37,523,271,411,157,385,69,501]|[349,386,125,412,299,500,374,126]|[38,587,316,612,499,348,469,294]|[405,358,534,252,515,383,533,162]|[315,550,549,603,537,551,124,39]|[357,332,602,359,270,160,161,382]|[102,627,478,514,170,158,397,638]|[468,117,398,295,522,12,628,586]"
M1,M,40,6,40,23,0.500000,"[1,14,15,19,22,25,30,34,41,44,50,53,54,56,57,58,62,64,66,67,71,75,78]","[498,532,240,404,573]|[276,156,403,497,116]|[402,437,115,467,435]|[274,205,330,626,331]|[155,204,531,513,428]|[11,275,536,459,356]|[241,465,466,123,574]|[601,355,436,180,454]"
M2,M,40,6,40,23,0.500000,"[3,6,11,14,16,25,26,27,31,34,35,36,42,43,44,46,48,54,55,68,71,73,78]","[273,293,354,287,129]|[54,94,251,211,346]|[27,445,286,444,130]|[51,571,203,28,114]|[372,624,29,250,53]|[340,31,585,384,210]|[548,572,373,220,52]|[625,292,30,347,434]"
M3,M,40,6,40,23,0.500000,"[0,6,14,16,17,26,28,32,35,37,38,41,43,44,53,55,57,60,72,74,75,76,79]","[282,0,228,598,353]|[284,579,113,329,209]|[262,138,285,427,141]|[599,457,298,128,458]|[310,482,283,442,600]|[261,483,50,139,1]|[443,637,140,578,309]|[345,308,227,611,260]"
S1,S,32,5,32,18,0.481481,"[11,19,26,28,32,35,36,39,44,51,57,60,61,63,64,65,68,71]","[491,291,93,314]|[226,225,280,92]|[546,259,352,510]|[154,281,570,410]|[521,494,520,492]|[509,208,409,313]|[153,290,456,481]|[493,569,512,547]"
S2,S,32,5,32,18,0.481481,"[2,3,12,14,17,18,19,31,33,40,43,45,50,51,52,62,70,73]","[268,408,137,417]|[326,496,563,420]|[19,150,564,344]|[101,100,419,149]|[269,325,362,18]|[421,26,152,99]|[565,249,363,98]|[584,401,112,418]"
S3,S,32,5,32,18,0.481481,"[2,3,5,10,13,15,22,36,38,42,49,52,56,59,61,66,69,79]","[17,25,24,122]|[635,554,177,555]|[556,105,178,477]|[46,557,530,395]|[636,453,476,106]|[288,307,339,179]|[45,289,396,489]|[416,558,83,490]"
