case_base,seed,scheduler,avg_relative_cct_vs_dynamic
threshold_sweep,42,helios_t10,1.196
threshold_sweep,42,helios_t20,1.074
threshold_sweep,42,helios_t30,1.008
threshold_sweep,42,helios_t40,1.122
threshold_sweep,42,helios_t50,1.382
threshold_sweep,42,helios_t60,1.391
threshold_sweep,42,helios_t70,1.755
threshold_sweep,42,helios_t80,1.753
threshold_sweep,42,helios_t90,2.136
threshold_sweep,42,hyacinth_dynamic,1.000
threshold_sweep,42,hyacinth_preset_t10,1.077
threshold_sweep,42,hyacinth_preset_t20,1.056
threshold_sweep,42,hyacinth_preset_t30,0.991
threshold_sweep,42,hyacinth_preset_t40,1.133
threshold_sweep,42,hyacinth_preset_t50,1.312
threshold_sweep,42,hyacinth_preset_t60,1.429
threshold_sweep,42,hyacinth_preset_t70,1.698
threshold_sweep,42,hyacinth_preset_t80,1.895
threshold_sweep,42,hyacinth_preset_t90,2.086
threshold_sweep,43,helios_t10,1.188
threshold_sweep,43,helios_t20,1.056
threshold_sweep,43,helios_t30,1.078
threshold_sweep,43,helios_t40,1.239
threshold_sweep,43,helios_t50,1.419
threshold_sweep,43,helios_t60,1.533
threshold_sweep,43,helios_t70,1.736
threshold_sweep,43,helios_t80,2.074
threshold_sweep,43,helios_t90,2.128
threshold_sweep,43,hyacinth_dynamic,1.000
threshold_sweep,43,hyacinth_preset_t10,1.091
threshold_sweep,43,hyacinth_preset_t20,1.064
threshold_sweep,43,hyacinth_preset_t30,1.048
threshold_sweep,43,hyacinth_preset_t40,1.159
threshold_sweep,43,hyacinth_preset_t50,1.374
threshold_sweep,43,hyacinth_preset_t60,1.655
threshold_sweep,43,hyacinth_preset_t70,1.824
threshold_sweep,43,hyacinth_preset_t80,2.120
threshold_sweep,43,hyacinth_preset_t90,2.351
threshold_sweep,44,helios_t10,1.295
threshold_sweep,44,helios_t20,1.189
threshold_sweep,44,helios_t30,1.174
threshold_sweep,44,helios_t40,1.227
threshold_sweep,44,helios_t50,1.414
threshold_sweep,44,helios_t60,1.761
threshold_sweep,44,helios_t70,2.000
threshold_sweep,44,helios_t80,2.169
threshold_sweep,44,helios_t90,2.315
threshold_sweep,44,hyacinth_dynamic,1.000
threshold_sweep,44,hyacinth_preset_t10,1.059
threshold_sweep,44,hyacinth_preset_t20,1.019
threshold_sweep,44,hyacinth_preset_t30,1.004
threshold_sweep,44,hyacinth_preset_t40,1.231
threshold_sweep,44,hyacinth_preset_t50,1.375
threshold_sweep,44,hyacinth_preset_t60,1.666
threshold_sweep,44,hyacinth_preset_t70,1.999
threshold_sweep,44,hyacinth_preset_t80,2.254
threshold_sweep,44,hyacinth_preset_t90,2.662
threshold_sweep,45,helios_t10,1.170
threshold_sweep,45,helios_t20,1.043
threshold_sweep,45,helios_t30,1.051
threshold_sweep,45,helios_t40,1.101
threshold_sweep,45,helios_t50,1.313
