case_base,seed,scheduler,avg_relative_cct_vs_dynamic
threshold_sweep,42,helios_t10,1.554
threshold_sweep,42,helios_t20,1.177
threshold_sweep,42,helios_t30,1.122
threshold_sweep,42,helios_t40,1.173
threshold_sweep,42,helios_t50,1.518
threshold_sweep,42,helios_t60,1.691
threshold_sweep,42,helios_t70,2.819
threshold_sweep,42,helios_t80,1.661
threshold_sweep,42,helios_t90,1.750
threshold_sweep,42,hyacinth_dynamic,1.000
threshold_sweep,42,hyacinth_preset_t10,1.100
threshold_sweep,42,hyacinth_preset_t20,1.716
threshold_sweep,42,hyacinth_preset_t30,1.228
threshold_sweep,42,hyacinth_preset_t40,1.163
threshold_sweep,42,hyacinth_preset_t50,2.444
threshold_sweep,42,hyacinth_preset_t60,1.737
threshold_sweep,42,hyacinth_preset_t70,2.270
threshold_sweep,42,hyacinth_preset_t80,2.233
threshold_sweep,42,hyacinth_preset_t90,2.489
threshold_sweep,43,helios_t10,1.530
threshold_sweep,43,helios_t20,1.076
threshold_sweep,43,helios_t30,1.042
threshold_sweep,43,helios_t40,1.630
threshold_sweep,43,helios_t50,1.510
threshold_sweep,43,helios_t60,0.984
threshold_sweep,43,helios_t70,1.180
threshold_sweep,43,helios_t80,2.232
threshold_sweep,43,helios_t90,1.805
threshold_sweep,43,hyacinth_dynamic,1.000
threshold_sweep,43,hyacinth_preset_t10,1.339
threshold_sweep,43,hyacinth_preset_t20,0.925
threshold_sweep,43,hyacinth_preset_t30,1.983
threshold_sweep,43,hyacinth_preset_t40,1.048
threshold_sweep,43,hyacinth_preset_t50,1.060
threshold_sweep,43,hyacinth_preset_t60,1.555
threshold_sweep,43,hyacinth_preset_t70,1.550
threshold_sweep,43,hyacinth_preset_t80,1.904
threshold_sweep,43,hyacinth_preset_t90,1.837
threshold_sweep,44,helios_t10,1.318
threshold_sweep,44,helios_t20,0.830
threshold_sweep,44,helios_t30,0.949
threshold_sweep,44,helios_t40,0.642
threshold_sweep,44,helios_t50,0.803
threshold_sweep,44,helios_t60,1.004
threshold_sweep,44,helios_t70,2.331
threshold_sweep,44,helios_t80,1.364
threshold_sweep,44,helios_t90,1.377
threshold_sweep,44,hyacinth_dynamic,1.000
threshold_sweep,44,hyacinth_preset_t10,0.627
threshold_sweep,44,hyacinth_preset_t20,0.927
threshold_sweep,44,hyacinth_preset_t30,0.752
threshold_sweep,44,hyacinth_preset_t40,0.729
threshold_sweep,44,hyacinth_preset_t50,1.084
threshold_sweep,44,hyacinth_preset_t60,1.100
threshold_sweep,44,hyacinth_preset_t70,1.237
threshold_sweep,44,hyacinth_preset_t80,2.016
threshold_sweep,44,hyacinth_preset_t90,2.165
threshold_sweep,45,helios_t10,1.530
threshold_sweep,45,helios_t20,1.065
threshold_sweep,45,helios_t30,1.109
threshold_sweep,45,helios_t40,0.981
threshold_sweep,45,helios_t50,1.005
threshold_sweep,45,helios_t60,1.213
threshold_sweep,45,helios_t70,1.569
threshold_sweep,45,helios_t80,1.581
threshold_sweep,45,helios_t90,1.594
threshold_sweep,45,hyacinth_dynamic,1.000
threshold_sweep,45,hyacinth_preset_t10,1.061
threshold_sweep,45,hyacinth_preset_t20,1.004
threshold_sweep,45,hyacinth_preset_t30,0.995
threshold_sweep,45,hyacinth_preset_t40,1.140
threshold_sweep,45,hyacinth_preset_t50,1.119
threshold_sweep,45,hyacinth_preset_t60,1.155
threshold_sweep,45,hyacinth_preset_t70,1.471
threshold_sweep,45,hyacinth_preset_t80,1.619
threshold_sweep,45,hyacinth_preset_t90,1.585
threshold_sweep,46,helios_t10,1.202
threshold_sweep,46,helios_t20,1.133
threshold_sweep,46,helios_t30,1.182
threshold_sweep,46,helios_t40,1.078
threshold_sweep,46,helios_t50,1.159
threshold_sweep,46,helios_t60,2.106
threshold_sweep,46,helios_t70,2.458
threshold_sweep,46,helios_t80,2.154
threshold_sweep,46,helios_t90,2.064
threshold_sweep,46,hyacinth_dynamic,1.000
threshold_sweep,46,hyacinth_preset_t10,1.046
threshold_sweep,46,hyacinth_preset_t20,1.168
threshold_sweep,46,hyacinth_preset_t30,1.326
threshold_sweep,46,hyacinth_preset_t40,1.510
threshold_sweep,46,hyacinth_preset_t50,1.492
threshold_sweep,46,hyacinth_preset_t60,1.675
threshold_sweep,46,hyacinth_preset_t70,1.789
threshold_sweep,46,hyacinth_preset_t80,2.410
threshold_sweep,46,hyacinth_preset_t90,2.092
threshold_sweep,47,helios_t10,1.238
threshold_sweep,47,helios_t20,1.104
threshold_sweep,47,helios_t30,1.445
threshold_sweep,47,helios_t40,0.989
threshold_sweep,47,helios_t50,1.177
threshold_sweep,47,helios_t60,1.441
threshold_sweep,47,helios_t70,1.693
threshold_sweep,47,helios_t80,1.522
threshold_sweep,47,helios_t90,1.927
threshold_sweep,47,hyacinth_dynamic,1.000
threshold_sweep,47,hyacinth_preset_t10,0.967
threshold_sweep,47,hyacinth_preset_t20,1.031
threshold_sweep,47,hyacinth_preset_t30,1.028
threshold_sweep,47,hyacinth_preset_t40,1.394
threshold_sweep,47,hyacinth_preset_t50,1.410
threshold_sweep,47,hyacinth_preset_t60,1.376
threshold_sweep,47,hyacinth_preset_t70,1.633
threshold_sweep,47,hyacinth_preset_t80,2.229
threshold_sweep,47,hyacinth_preset_t90,1.698
threshold_sweep,48,helios_t10,0.681
threshold_sweep,48,helios_t20,0.749
threshold_sweep,48,helios_t30,0.614
threshold_sweep,48,helios_t40,0.751
threshold_sweep,48,helios_t50,0.763
threshold_sweep,48,helios_t60,0.830
threshold_sweep,48,helios_t70,1.266
threshold_sweep,48,helios_t80,1.146
threshold_sweep,48,helios_t90,1.036
threshold_sweep,48,hyacinth_dynamic,1.000
threshold_sweep,48,hyacinth_preset_t10,0.731
threshold_sweep,48,hyacinth_preset_t20,0.679
threshold_sweep,48,hyacinth_preset_t30,0.785
threshold_sweep,48,hyacinth_preset_t40,0.773
threshold_sweep,48,hyacinth_preset_t50,0.753
threshold_sweep,48,hyacinth_preset_t60,0.780
threshold_sweep,48,hyacinth_preset_t70,1.317
threshold_sweep,48,hyacinth_preset_t80,1.145
threshold_sweep,48,hyacinth_preset_t90,1.319
threshold_sweep,49,helios_t10,1.008
threshold_sweep,49,helios_t20,0.793
threshold_sweep,49,helios_t30,0.890
threshold_sweep,49,helios_t40,1.298
threshold_sweep,49,helios_t50,0.928
threshold_sweep,49,helios_t60,0.936
threshold_sweep,49,helios_t70,1.089
threshold_sweep,49,helios_t80,1.212
threshold_sweep,49,helios_t90,1.199
threshold_sweep,49,hyacinth_dynamic,1.000
threshold_sweep,49,hyacinth_preset_t10,0.805
threshold_sweep,49,hyacinth_preset_t20,1.110
threshold_sweep,49,hyacinth_preset_t30,1.052
threshold_sweep,49,hyacinth_preset_t40,1.048
threshold_sweep,49,hyacinth_preset_t50,0.909
threshold_sweep,49,hyacinth_preset_t60,1.250
threshold_sweep,49,hyacinth_preset_t70,1.530
threshold_sweep,49,hyacinth_preset_t80,1.589
threshold_sweep,49,hyacinth_preset_t90,1.365
threshold_sweep,50,helios_t10,0.922
threshold_sweep,50,helios_t20,1.667
threshold_sweep,50,helios_t30,1.012
threshold_sweep,50,helios_t40,1.476
threshold_sweep,50,helios_t50,1.107
threshold_sweep,50,helios_t60,1.228
threshold_sweep,50,helios_t70,1.998
threshold_sweep,50,helios_t80,1.936
threshold_sweep,50,helios_t90,2.434
threshold_sweep,50,hyacinth_dynamic,1.000
threshold_sweep,50,hyacinth_preset_t10,1.539
threshold_sweep,50,hyacinth_preset_t20,1.028
threshold_sweep,50,hyacinth_preset_t30,1.055
threshold_sweep,50,hyacinth_preset_t40,1.344
threshold_sweep,50,hyacinth_preset_t50,1.662
threshold_sweep,50,hyacinth_preset_t60,1.858
threshold_sweep,50,hyacinth_preset_t70,1.693
threshold_sweep,50,hyacinth_preset_t80,1.890
threshold_sweep,50,hyacinth_preset_t90,2.019
threshold_sweep,51,helios_t10,1.089
threshold_sweep,51,helios_t20,0.918
threshold_sweep,51,helios_t30,0.832
threshold_sweep,51,helios_t40,1.053
threshold_sweep,51,helios_t50,1.488
threshold_sweep,51,helios_t60,1.268
threshold_sweep,51,helios_t70,1.124
threshold_sweep,51,helios_t80,2.312
threshold_sweep,51,helios_t90,1.780
threshold_sweep,51,hyacinth_dynamic,1.000
threshold_sweep,51,hyacinth_preset_t10,0.781
threshold_sweep,51,hyacinth_preset_t20,0.856
threshold_sweep,51,hyacinth_preset_t30,1.058
threshold_sweep,51,hyacinth_preset_t40,0.770
threshold_sweep,51,hyacinth_preset_t50,1.005
threshold_sweep,51,hyacinth_preset_t60,1.172
threshold_sweep,51,hyacinth_preset_t70,1.405
threshold_sweep,51,hyacinth_preset_t80,1.586
threshold_sweep,51,hyacinth_preset_t90,1.979
