case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
threshold_sweep,helios_t10,10,1.180,0.210
threshold_sweep,helios_t20,10,1.015,0.114
threshold_sweep,helios_t30,10,1.034,0.154
threshold_sweep,helios_t40,10,1.009,0.146
threshold_sweep,helios_t50,10,1.158,0.192
threshold_sweep,helios_t60,10,1.229,0.182
threshold_sweep,helios_t70,10,1.605,0.518
threshold_sweep,helios_t80,10,1.678,0.261
threshold_sweep,helios_t90,10,1.706,0.262
threshold_sweep,hyacinth_dynamic,10,1.000,0.000
threshold_sweep,hyacinth_preset_t10,10,0.989,0.155
threshold_sweep,hyacinth_preset_t20,10,1.012,0.180
threshold_sweep,hyacinth_preset_t30,10,1.051,0.130
threshold_sweep,hyacinth_preset_t40,10,1.119,0.223
threshold_sweep,hyacinth_preset_t50,10,1.178,0.208
threshold_sweep,hyacinth_preset_t60,10,1.377,0.279
threshold_sweep,hyacinth_preset_t70,10,1.514,0.274
threshold_sweep,hyacinth_preset_t80,10,1.776,0.301
threshold_sweep,hyacinth_preset_t90,10,1.876,0.317
