case_base,seed,scheduler,avg_relative_fct_vs_dynamic
threshold_sweep,42,helios_t10,0.997
threshold_sweep,42,helios_t20,1.079
threshold_sweep,42,helios_t30,1.192
threshold_sweep,42,helios_t40,1.353
threshold_sweep,42,helios_t50,5.414
threshold_sweep,42,helios_t60,25.064
threshold_sweep,42,helios_t70,27.921
threshold_sweep,42,helios_t80,9.467
threshold_sweep,42,helios_t90,8.428
threshold_sweep,42,hyacinth_dynamic,1.000
threshold_sweep,42,hyacinth_preset_t10,0.990
threshold_sweep,42,hyacinth_preset_t20,0.999
threshold_sweep,42,hyacinth_preset_t30,1.005
threshold_sweep,42,hyacinth_preset_t40,1.011
threshold_sweep,42,hyacinth_preset_t50,1.020
threshold_sweep,42,hyacinth_preset_t60,1.035
threshold_sweep,42,hyacinth_preset_t70,1.073
threshold_sweep,42,hyacinth_preset_t80,1.104
threshold_sweep,42,hyacinth_preset_t90,1.257
threshold_sweep,43,helios_t10,0.949
threshold_sweep,43,helios_t20,1.126
threshold_sweep,43,helios_t30,1.976
threshold_sweep,43,helios_t40,2.232
threshold_sweep,43,helios_t50,17.143
threshold_sweep,43,helios_t60,24.003
threshold_sweep,43,helios_t70,4.778
threshold_sweep,43,helios_t80,19.933
threshold_sweep,43,helios_t90,6.743
threshold_sweep,43,hyacinth_dynamic,1.000
threshold_sweep,43,hyacinth_preset_t10,1.042
threshold_sweep,43,hyacinth_preset_t20,1.015
threshold_sweep,43,hyacinth_preset_t30,1.031
threshold_sweep,43,hyacinth_preset_t40,1.018
threshold_sweep,43,hyacinth_preset_t50,1.014
threshold_sweep,43,hyacinth_preset_t60,1.041
threshold_sweep,43,hyacinth_preset_t70,1.135
threshold_sweep,43,hyacinth_preset_t80,1.193
threshold_sweep,43,hyacinth_preset_t90,1.374
threshold_sweep,44,helios_t10,1.041
threshold_sweep,44,helios_t20,1.441
threshold_sweep,44,helios_t30,2.610
threshold_sweep,44,helios_t40,2.878
threshold_sweep,44,helios_t50,3.969
threshold_sweep,44,helios_t60,19.084
threshold_sweep,44,helios_t70,5.604
threshold_sweep,44,helios_t80,19.267
threshold_sweep,44,helios_t90,11.166
threshold_sweep,44,hyacinth_dynamic,1.000
threshold_sweep,44,hyacinth_preset_t10,1.055
threshold_sweep,44,hyacinth_preset_t20,1.039
threshold_sweep,44,hyacinth_preset_t30,1.036
threshold_sweep,44,hyacinth_preset_t40,1.026
threshold_sweep,44,hyacinth_preset_t50,1.004
threshold_sweep,44,hyacinth_preset_t60,1.043
threshold_sweep,44,hyacinth_preset_t70,1.117
threshold_sweep,44,hyacinth_preset_t80,1.254
threshold_sweep,44,hyacinth_preset_t90,1.407
threshold_sweep,45,helios_t10,0.903
threshold_sweep,45,helios_t20,1.082
threshold_sweep,45,helios_t30,1.457
threshold_sweep,45,helios_t40,2.427
threshold_sweep,45,helios_t50,2.789
threshold_sweep,45,helios_t60,5.130
threshold_sweep,45,helios_t70,5.183
threshold_sweep,45,helios_t80,9.842
threshold_sweep,45,helios_t90,6.890
threshold_sweep,45,hyacinth_dynamic,1.000
threshold_sweep,45,hyacinth_preset_t10,0.989
threshold_sweep,45,hyacinth_preset_t20,1.001
threshold_sweep,45,hyacinth_preset_t30,0.994
threshold_sweep,45,hyacinth_preset_t40,1.009
threshold_sweep,45,hyacinth_preset_t50,0.985
threshold_sweep,45,hyacinth_preset_t60,1.017
threshold_sweep,45,hyacinth_preset_t70,1.092
threshold_sweep,45,hyacinth_preset_t80,1.182
threshold_sweep,45,hyacinth_preset_t90,1.363
threshold_sweep,46,helios_t10,0.980
threshold_sweep,46,helios_t20,1.206
threshold_sweep,46,helios_t30,1.411
threshold_sweep,46,helios_t40,1.766
threshold_sweep,46,helios_t50,6.577
threshold_sweep,46,helios_t60,34.499
threshold_sweep,46,helios_t70,9.627
threshold_sweep,46,helios_t80,31.471
threshold_sweep,46,helios_t90,7.143
threshold_sweep,46,hyacinth_dynamic,1.000
threshold_sweep,46,hyacinth_preset_t10,1.060
threshold_sweep,46,hyacinth_preset_t20,1.021
threshold_sweep,46,hyacinth_preset_t30,1.025
threshold_sweep,46,hyacinth_preset_t40,1.022
threshold_sweep,46,hyacinth_preset_t50,0.999
threshold_sweep,46,hyacinth_preset_t60,1.043
threshold_sweep,46,hyacinth_preset_t70,1.066
threshold_sweep,46,hyacinth_preset_t80,1.210
threshold_sweep,46,hyacinth_preset_t90,1.338
threshold_sweep,47,helios_t10,0.977
threshold_sweep,47,helios_t20,1.179
threshold_sweep,47,helios_t30,1.471
threshold_sweep,47,helios_t40,2.655
threshold_sweep,47,helios_t50,3.743
threshold_sweep,47,helios_t60,6.204
threshold_sweep,47,helios_t70,8.862
threshold_sweep,47,helios_t80,5.805
threshold_sweep,47,helios_t90,26.667
threshold_sweep,47,hyacinth_dynamic,1.000
threshold_sweep,47,hyacinth_preset_t10,1.055
threshold_sweep,47,hyacinth_preset_t20,1.034
threshold_sweep,47,hyacinth_preset_t30,1.043
threshold_sweep,47,hyacinth_preset_t40,1.009
threshold_sweep,47,hyacinth_preset_t50,0.984
threshold_sweep,47,hyacinth_preset_t60,1.018
threshold_sweep,47,hyacinth_preset_t70,1.058
threshold_sweep,47,hyacinth_preset_t80,1.154
threshold_sweep,47,hyacinth_preset_t90,1.402
threshold_sweep,48,helios_t10,0.988
threshold_sweep,48,helios_t20,1.153
threshold_sweep,48,helios_t30,1.792
threshold_sweep,48,helios_t40,40.571
threshold_sweep,48,helios_t50,43.593
threshold_sweep,48,helios_t60,68.281
threshold_sweep,48,helios_t70,45.077
threshold_sweep,48,helios_t80,65.995
threshold_sweep,48,helios_t90,43.532
threshold_sweep,48,hyacinth_dynamic,1.000
threshold_sweep,48,hyacinth_preset_t10,1.014
threshold_sweep,48,hyacinth_preset_t20,1.005
threshold_sweep,48,hyacinth_preset_t30,0.984
threshold_sweep,48,hyacinth_preset_t40,0.980
threshold_sweep,48,hyacinth_preset_t50,0.984
threshold_sweep,48,hyacinth_preset_t60,1.027
threshold_sweep,48,hyacinth_preset_t70,1.074
threshold_sweep,48,hyacinth_preset_t80,1.192
threshold_sweep,48,hyacinth_preset_t90,1.386
threshold_sweep,49,helios_t10,0.927
threshold_sweep,49,helios_t20,1.040
threshold_sweep,49,helios_t30,1.304
threshold_sweep,49,helios_t40,2.226
threshold_sweep,49,helios_t50,3.711
threshold_sweep,49,helios_t60,5.411
threshold_sweep,49,helios_t70,6.602
