case_base,scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
threshold_sweep,helios_t10,10,0.977,0.040
threshold_sweep,helios_t20,10,1.274,0.272
threshold_sweep,helios_t30,10,1.865,0.678
threshold_sweep,helios_t40,10,6.851,11.396
threshold_sweep,helios_t50,10,9.645,11.976
threshold_sweep,helios_t60,10,20.296,18.747
threshold_sweep,helios_t70,10,13.339,12.341
threshold_sweep,helios_t80,10,18.759,17.468
threshold_sweep,helios_t90,10,20.075,15.180
threshold_sweep,hyacinth_dynamic,10,1.000,0.000
threshold_sweep,hyacinth_preset_t10,10,1.032,0.026
threshold_sweep,hyacinth_preset_t20,10,1.017,0.016
threshold_sweep,hyacinth_preset_t30,10,1.017,0.018
threshold_sweep,hyacinth_preset_t40,10,1.016,0.016
threshold_sweep,hyacinth_preset_t50,10,1.009,0.021
threshold_sweep,hyacinth_preset_t60,10,1.034,0.012
threshold_sweep,hyacinth_preset_t70,10,1.091,0.027
threshold_sweep,hyacinth_preset_t80,10,1.186,0.039
threshold_sweep,hyacinth_preset_t90,10,1.361,0.061
