case_base,seed,scheduler,avg_solve_time_ms
threshold_sweep,42,helios_t10,0.000
threshold_sweep,42,helios_t20,0.000
threshold_sweep,42,helios_t30,0.000
threshold_sweep,42,helios_t40,0.000
threshold_sweep,42,helios_t50,0.000
threshold_sweep,42,helios_t60,0.000
threshold_sweep,42,helios_t70,0.000
threshold_sweep,42,helios_t80,0.000
threshold_sweep,42,helios_t90,0.000
threshold_sweep,42,hyacinth_dynamic,0.217
threshold_sweep,42,hyacinth_preset_t10,0.218
threshold_sweep,42,hyacinth_preset_t20,0.170
threshold_sweep,42,hyacinth_preset_t30,0.191
threshold_sweep,42,hyacinth_preset_t40,0.164
threshold_sweep,42,hyacinth_preset_t50,0.136
threshold_sweep,42,hyacinth_preset_t60,0.174
threshold_sweep,42,hyacinth_preset_t70,0.192
threshold_sweep,42,hyacinth_preset_t80,0.149
threshold_sweep,42,hyacinth_preset_t90,0.203
threshold_sweep,43,helios_t10,0.000
threshold_sweep,43,helios_t20,0.000
threshold_sweep,43,helios_t30,0.000
threshold_sweep,43,helios_t40,0.000
threshold_sweep,43,helios_t50,0.000
threshold_sweep,43,helios_t60,0.000
threshold_sweep,43,helios_t70,0.000
threshold_sweep,43,helios_t80,0.000
threshold_sweep,43,helios_t90,0.000
threshold_sweep,43,hyacinth_dynamic,0.285
threshold_sweep,43,hyacinth_preset_t10,0.209
threshold_sweep,43,hyacinth_preset_t20,0.125
threshold_sweep,43,hyacinth_preset_t30,0.167
threshold_sweep,43,hyacinth_preset_t40,0.135
threshold_sweep,43,hyacinth_preset_t50,0.170
threshold_sweep,43,hyacinth_preset_t60,0.140
threshold_sweep,43,hyacinth_preset_t70,0.185
threshold_sweep,43,hyacinth_preset_t80,0.193
threshold_sweep,43,hyacinth_preset_t90,0.205
threshold_sweep,44,helios_t10,0.000
threshold_sweep,44,helios_t20,0.000
threshold_sweep,44,helios_t30,0.000
threshold_sweep,44,helios_t40,0.000
threshold_sweep,44,helios_t50,0.000
threshold_sweep,44,helios_t60,0.000
threshold_sweep,44,helios_t70,0.000
threshold_sweep,44,helios_t80,0.000
threshold_sweep,44,helios_t90,0.000
threshold_sweep,44,hyacinth_dynamic,0.292
threshold_sweep,44,hyacinth_preset_t10,0.278
threshold_sweep,44,hyacinth_preset_t20,0.168
threshold_sweep,44,hyacinth_preset_t30,0.189
threshold_sweep,44,hyacinth_preset_t40,0.161
threshold_sweep,44,hyacinth_preset_t50,0.169
threshold_sweep,44,hyacinth_preset_t60,0.181
threshold_sweep,44,hyacinth_preset_t70,0.188
threshold_sweep,44,hyacinth_preset_t80,0.187
threshold_sweep,44,hyacinth_preset_t90,0.203
threshold_sweep,45,helios_t10,0.000
threshold_sweep,45,helios_t20,0.000
threshold_sweep,45,helios_t30,0.000
threshold_sweep,45,helios_t40,0.000
threshold_sweep,45,helios_t50,0.000
threshold_sweep,45,helios_t60,0.000
threshold_sweep,45,helios_t70,0.000
threshold_sweep,45,helios_t80,0.000
threshold_sweep,45,helios_t90,0.000
threshold_sweep,45,hyacinth_dynamic,0.318
threshold_sweep,45,hyacinth_preset_t10,0.155
threshold_sweep,45,hyacinth_preset_t20,0.171
threshold_sweep,45,hyacinth_preset_t30,0.190
threshold_sweep,45,hyacinth_preset_t40,0.160
threshold_sweep,45,hyacinth_preset_t50,0.170
threshold_sweep,45,hyacinth_preset_t60,0.175
threshold_sweep,45,hyacinth_preset_t70,0.185
threshold_sweep,45,hyacinth_preset_t80,0.190
threshold_sweep,45,hyacinth_preset_t90,0.191
threshold_sweep,46,helios_t10,0.000
