case_tag,seed,model_mix,frag,load,nrack,workload,status,run_dir
"frag0p1_seed42","42","4L,3M,3S","0.1","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p1/seed_42"
"frag0p1_seed43","43","4L,3M,3S","0.1","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p1/seed_43"
"frag0p1_seed44","44","4L,3M,3S","0.1","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p1/seed_44"
"frag0p1_seed45","45","4L,3M,3S","0.1","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p1/seed_45"
"frag0p1_seed46","46","4L,3M,3S","0.1","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p1/seed_46"
"frag0p1_seed47","47","4L,3M,3S","0.1","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p1/seed_47"
"frag0p1_seed48","48","4L,3M,3S","0.1","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p1/seed_48"
"frag0p1_seed49","49","4L,3M,3S","0.1","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p1/seed_49"
"frag0p1_seed50","50","4L,3M,3S","0.1","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p1/seed_50"
"frag0p1_seed51","51","4L,3M,3S","0.1","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p1/seed_51"
"frag0p3_seed42","42","4L,3M,3S","0.3","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p3/seed_42"
"frag0p3_seed43","43","4L,3M,3S","0.3","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p3/seed_43"
"frag0p3_seed44","44","4L,3M,3S","0.3","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p3/seed_44"
"frag0p3_seed45","45","4L,3M,3S","0.3","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p3/seed_45"
"frag0p3_seed46","46","4L,3M,3S","0.3","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p3/seed_46"
"frag0p3_seed47","47","4L,3M,3S","0.3","0.5","80","/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv","ok","/home/xuheng/hyacinth/experiments/expe_logs_10round/frag/batch_20260422_200323_frag/frag0p3/seed_47"
