case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
frag0p1,ocs_eps_global_ksp,10,1.671,0.299
frag0p1,pure_ocs_ksp,10,1.177,0.315
frag0p1,eps_ecmp,10,1.083,0.183
frag0p1,ocs_eps_large_small,10,1.025,0.180
frag0p1,pure_ocs_ksp_greedy,10,1.041,0.177
frag0p1,ocs_eps_preset_greedy,10,1.034,0.176
frag0p1,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p1,pure_ocs_3hop_preset,10,0.984,0.153
frag0p1,pure_ocs_pruned,10,0.984,0.153
frag0p1,ocs_eps_pruned,10,1.054,0.166
frag0p3,ocs_eps_global_ksp,10,1.606,0.305
frag0p3,pure_ocs_ksp,10,1.081,0.135
frag0p3,eps_ecmp,10,1.160,0.182
frag0p3,ocs_eps_large_small,10,1.012,0.187
frag0p3,pure_ocs_ksp_greedy,10,1.103,0.352
frag0p3,ocs_eps_preset_greedy,10,1.032,0.153
frag0p3,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p3,pure_ocs_3hop_preset,10,0.991,0.099
frag0p3,pure_ocs_pruned,10,0.991,0.099
frag0p3,ocs_eps_pruned,10,1.024,0.146
frag0p5,ocs_eps_global_ksp,1,1.504,0.000
frag0p5,pure_ocs_ksp,1,1.258,0.000
frag0p5,eps_ecmp,1,1.033,0.000
frag0p5,ocs_eps_large_small,1,1.162,0.000
frag0p5,pure_ocs_ksp_greedy,1,1.304,0.000
frag0p5,ocs_eps_preset_greedy,1,1.276,0.000
frag0p5,ocs_eps_preset_dynamic_greedy,1,1.000,0.000
frag0p5,pure_ocs_3hop_preset,1,1.058,0.000
frag0p5,pure_ocs_pruned,1,1.058,0.000
frag0p5,ocs_eps_pruned,1,1.144,0.000
mix10L,ocs_eps_global_ksp,10,1.936,0.275
mix10L,pure_ocs_ksp,10,1.114,0.115
mix10L,eps_ecmp,10,1.141,0.116
mix10L,ocs_eps_large_small,10,1.053,0.143
mix10L,pure_ocs_ksp_greedy,10,1.103,0.213
mix10L,ocs_eps_preset_greedy,10,1.063,0.138
mix10L,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix10L,pure_ocs_3hop_preset,10,1.037,0.168
mix10L,pure_ocs_pruned,10,1.037,0.168
mix10L,ocs_eps_pruned,10,1.048,0.141
mix4L3M3S,ocs_eps_global_ksp,10,1.581,0.190
mix4L3M3S,pure_ocs_ksp,10,1.048,0.128
mix4L3M3S,eps_ecmp,10,1.066,0.152
mix4L3M3S,ocs_eps_large_small,10,1.015,0.114
mix4L3M3S,pure_ocs_ksp_greedy,10,1.006,0.129
mix4L3M3S,ocs_eps_preset_greedy,10,1.012,0.180
mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix4L3M3S,pure_ocs_3hop_preset,10,1.016,0.167
mix4L3M3S,pure_ocs_pruned,10,1.016,0.167
mix4L3M3S,ocs_eps_pruned,10,1.019,0.094
n20_mix1L1M1S,ocs_eps_global_ksp,10,1.131,0.186
n20_mix1L1M1S,pure_ocs_ksp,10,1.039,0.291
n20_mix1L1M1S,eps_ecmp,10,0.691,0.129
n20_mix1L1M1S,ocs_eps_large_small,10,1.707,0.418
n20_mix1L1M1S,pure_ocs_ksp_greedy,10,1.063,0.306
n20_mix1L1M1S,ocs_eps_preset_greedy,10,1.250,0.227
n20_mix1L1M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n20_mix1L1M1S,pure_ocs_3hop_preset,10,0.968,0.190
n20_mix1L1M1S,pure_ocs_pruned,10,0.968,0.190
n20_mix1L1M1S,ocs_eps_pruned,10,0.844,0.248
n40_mix3L2M1S,ocs_eps_global_ksp,10,1.210,0.166
n40_mix3L2M1S,pure_ocs_ksp,10,1.289,0.232
n40_mix3L2M1S,eps_ecmp,10,0.798,0.209
n40_mix3L2M1S,ocs_eps_large_small,10,1.741,0.335
n40_mix3L2M1S,pure_ocs_ksp_greedy,10,1.277,0.155
n40_mix3L2M1S,ocs_eps_preset_greedy,10,1.433,0.230
n40_mix3L2M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n40_mix3L2M1S,pure_ocs_3hop_preset,10,1.224,0.227
n40_mix3L2M1S,pure_ocs_pruned,10,1.224,0.227
n40_mix3L2M1S,ocs_eps_pruned,10,1.104,0.231
n80_mix4L3M3S,ocs_eps_global_ksp,10,1.581,0.190
n80_mix4L3M3S,pure_ocs_ksp,10,1.048,0.128
n80_mix4L3M3S,eps_ecmp,10,1.066,0.152
n80_mix4L3M3S,ocs_eps_large_small,10,1.015,0.114
n80_mix4L3M3S,pure_ocs_ksp_greedy,10,1.006,0.129
n80_mix4L3M3S,ocs_eps_preset_greedy,10,1.012,0.180
n80_mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n80_mix4L3M3S,pure_ocs_3hop_preset,10,1.016,0.167
n80_mix4L3M3S,pure_ocs_pruned,10,1.016,0.167
n80_mix4L3M3S,ocs_eps_pruned,10,1.019,0.094
spread0ms,ocs_eps_global_ksp,10,2.713,0.278
spread0ms,pure_ocs_ksp,10,1.364,0.170
spread0ms,eps_ecmp,10,0.736,0.174
spread0ms,ocs_eps_large_small,10,1.287,0.138
spread0ms,pure_ocs_ksp_greedy,10,1.162,0.112
spread0ms,ocs_eps_preset_greedy,10,1.061,0.116
spread0ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread0ms,pure_ocs_3hop_preset,10,1.152,0.164
spread0ms,pure_ocs_pruned,10,1.152,0.164
spread0ms,ocs_eps_pruned,10,0.958,0.096
spread25ms,ocs_eps_global_ksp,10,2.633,0.674
spread25ms,pure_ocs_ksp,10,1.289,0.155
spread25ms,eps_ecmp,10,1.045,0.188
spread25ms,ocs_eps_large_small,10,1.298,0.194
spread25ms,pure_ocs_ksp_greedy,10,1.236,0.254
spread25ms,ocs_eps_preset_greedy,10,1.046,0.100
spread25ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread25ms,pure_ocs_3hop_preset,10,1.192,0.166
spread25ms,pure_ocs_pruned,10,1.192,0.166
spread25ms,ocs_eps_pruned,10,1.153,0.166
