case_base,scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
frag0p1,ocs_eps_global_ksp,10,1.316,0.039
frag0p1,pure_ocs_ksp,10,1.049,0.026
frag0p1,eps_ecmp,10,0.981,0.027
frag0p1,ocs_eps_large_small,10,1.924,0.439
frag0p1,pure_ocs_ksp_greedy,10,1.029,0.031
frag0p1,ocs_eps_preset_greedy,10,1.033,0.012
frag0p1,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p1,pure_ocs_3hop_preset,10,1.003,0.032
frag0p1,pure_ocs_pruned,10,1.003,0.032
frag0p1,ocs_eps_pruned,10,0.998,0.018
frag0p3,ocs_eps_global_ksp,10,1.412,0.161
frag0p3,pure_ocs_ksp,10,1.037,0.022
frag0p3,eps_ecmp,10,0.992,0.031
frag0p3,ocs_eps_large_small,10,1.558,0.342
frag0p3,pure_ocs_ksp_greedy,10,1.015,0.029
frag0p3,ocs_eps_preset_greedy,10,1.020,0.026
frag0p3,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p3,pure_ocs_3hop_preset,10,1.007,0.024
frag0p3,pure_ocs_pruned,10,1.007,0.024
frag0p3,ocs_eps_pruned,10,1.008,0.021
frag0p5,ocs_eps_global_ksp,1,1.174,0.000
frag0p5,pure_ocs_ksp,1,1.032,0.000
frag0p5,eps_ecmp,1,1.003,0.000
frag0p5,ocs_eps_large_small,1,1.079,0.000
frag0p5,pure_ocs_ksp_greedy,1,1.019,0.000
frag0p5,ocs_eps_preset_greedy,1,0.999,0.000
frag0p5,ocs_eps_preset_dynamic_greedy,1,1.000,0.000
frag0p5,pure_ocs_3hop_preset,1,0.999,0.000
frag0p5,pure_ocs_pruned,1,0.999,0.000
frag0p5,ocs_eps_pruned,1,0.999,0.000
mix10L,ocs_eps_global_ksp,10,1.417,0.150
mix10L,pure_ocs_ksp,10,1.052,0.020
mix10L,eps_ecmp,10,0.969,0.024
mix10L,ocs_eps_large_small,10,1.457,0.237
mix10L,pure_ocs_ksp_greedy,10,1.015,0.026
mix10L,ocs_eps_preset_greedy,10,1.017,0.019
mix10L,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix10L,pure_ocs_3hop_preset,10,1.003,0.010
mix10L,pure_ocs_pruned,10,1.003,0.010
mix10L,ocs_eps_pruned,10,0.992,0.014
mix4L3M3S,ocs_eps_global_ksp,10,1.277,0.058
mix4L3M3S,pure_ocs_ksp,10,1.051,0.015
mix4L3M3S,eps_ecmp,10,0.993,0.022
mix4L3M3S,ocs_eps_large_small,10,1.274,0.272
mix4L3M3S,pure_ocs_ksp_greedy,10,1.015,0.026
mix4L3M3S,ocs_eps_preset_greedy,10,1.017,0.016
mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix4L3M3S,pure_ocs_3hop_preset,10,1.010,0.020
mix4L3M3S,pure_ocs_pruned,10,1.010,0.020
mix4L3M3S,ocs_eps_pruned,10,1.001,0.021
n20_mix1L1M1S,ocs_eps_global_ksp,10,1.399,0.295
n20_mix1L1M1S,pure_ocs_ksp,10,1.283,0.263
n20_mix1L1M1S,eps_ecmp,10,0.694,0.060
n20_mix1L1M1S,ocs_eps_large_small,10,1.883,0.727
n20_mix1L1M1S,pure_ocs_ksp_greedy,10,1.177,0.243
n20_mix1L1M1S,ocs_eps_preset_greedy,10,1.851,0.561
n20_mix1L1M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n20_mix1L1M1S,pure_ocs_3hop_preset,10,1.945,2.578
n20_mix1L1M1S,pure_ocs_pruned,10,1.945,2.578
n20_mix1L1M1S,ocs_eps_pruned,10,0.981,0.149
n40_mix3L2M1S,ocs_eps_global_ksp,10,2.306,0.991
n40_mix3L2M1S,pure_ocs_ksp,10,1.368,0.238
n40_mix3L2M1S,eps_ecmp,10,0.669,0.071
n40_mix3L2M1S,ocs_eps_large_small,10,5.646,8.769
n40_mix3L2M1S,pure_ocs_ksp_greedy,10,1.152,0.086
n40_mix3L2M1S,ocs_eps_preset_greedy,10,3.197,3.032
n40_mix3L2M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n40_mix3L2M1S,pure_ocs_3hop_preset,10,1.118,0.129
n40_mix3L2M1S,pure_ocs_pruned,10,1.118,0.129
n40_mix3L2M1S,ocs_eps_pruned,10,1.028,0.185
n80_mix4L3M3S,ocs_eps_global_ksp,10,1.277,0.058
n80_mix4L3M3S,pure_ocs_ksp,10,1.051,0.015
n80_mix4L3M3S,eps_ecmp,10,0.993,0.022
n80_mix4L3M3S,ocs_eps_large_small,10,1.274,0.272
n80_mix4L3M3S,pure_ocs_ksp_greedy,10,1.015,0.026
n80_mix4L3M3S,ocs_eps_preset_greedy,10,1.017,0.016
n80_mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n80_mix4L3M3S,pure_ocs_3hop_preset,10,1.010,0.020
n80_mix4L3M3S,pure_ocs_pruned,10,1.010,0.020
n80_mix4L3M3S,ocs_eps_pruned,10,1.001,0.021
spread0ms,ocs_eps_global_ksp,10,1.476,0.045
spread0ms,pure_ocs_ksp,10,1.090,0.033
spread0ms,eps_ecmp,10,0.776,0.022
spread0ms,ocs_eps_large_small,10,2.846,1.674
spread0ms,pure_ocs_ksp_greedy,10,1.059,0.030
spread0ms,ocs_eps_preset_greedy,10,1.108,0.053
spread0ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread0ms,pure_ocs_3hop_preset,10,1.048,0.031
spread0ms,pure_ocs_pruned,10,1.048,0.031
spread0ms,ocs_eps_pruned,10,0.979,0.018
spread25ms,ocs_eps_global_ksp,10,1.453,0.101
spread25ms,pure_ocs_ksp,10,1.053,0.021
spread25ms,eps_ecmp,10,0.862,0.026
spread25ms,ocs_eps_large_small,10,2.181,0.546
spread25ms,pure_ocs_ksp_greedy,10,1.028,0.028
spread25ms,ocs_eps_preset_greedy,10,1.051,0.028
spread25ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread25ms,pure_ocs_3hop_preset,10,1.025,0.032
spread25ms,pure_ocs_pruned,10,1.025,0.032
spread25ms,ocs_eps_pruned,10,0.997,0.022
