case_base,scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
frag0p1,ocs_eps_global_ksp,10,0.000,0.000
frag0p1,pure_ocs_ksp,10,0.000,0.000
frag0p1,eps_ecmp,10,0.000,0.000
frag0p1,ocs_eps_large_small,10,0.000,0.000
frag0p1,pure_ocs_ksp_greedy,10,0.105,0.010
frag0p1,ocs_eps_preset_greedy,10,0.115,0.013
frag0p1,ocs_eps_preset_dynamic_greedy,10,0.228,0.033
frag0p1,pure_ocs_3hop_preset,10,0.548,0.141
frag0p1,pure_ocs_pruned,10,0.553,0.106
frag0p1,ocs_eps_pruned,10,0.649,0.127
frag0p3,ocs_eps_global_ksp,10,0.000,0.000
frag0p3,pure_ocs_ksp,10,0.000,0.000
frag0p3,eps_ecmp,10,0.000,0.000
frag0p3,ocs_eps_large_small,10,0.000,0.000
frag0p3,pure_ocs_ksp_greedy,10,0.113,0.012
frag0p3,ocs_eps_preset_greedy,10,0.126,0.012
frag0p3,ocs_eps_preset_dynamic_greedy,10,0.264,0.038
frag0p3,pure_ocs_3hop_preset,10,0.595,0.156
frag0p3,pure_ocs_pruned,10,0.650,0.116
frag0p3,ocs_eps_pruned,10,0.706,0.160
frag0p5,ocs_eps_global_ksp,1,0.000,0.000
frag0p5,pure_ocs_ksp,1,0.000,0.000
frag0p5,eps_ecmp,1,0.000,0.000
frag0p5,ocs_eps_large_small,1,0.000,0.000
frag0p5,pure_ocs_ksp_greedy,1,0.098,0.000
frag0p5,ocs_eps_preset_greedy,1,0.117,0.000
frag0p5,ocs_eps_preset_dynamic_greedy,1,0.208,0.000
frag0p5,pure_ocs_3hop_preset,1,0.669,0.000
frag0p5,pure_ocs_pruned,1,0.654,0.000
frag0p5,ocs_eps_pruned,1,0.610,0.000
mix10L,ocs_eps_global_ksp,10,0.000,0.000
mix10L,pure_ocs_ksp,10,0.000,0.000
mix10L,eps_ecmp,10,0.000,0.000
mix10L,ocs_eps_large_small,10,0.000,0.000
mix10L,pure_ocs_ksp_greedy,10,0.170,0.017
mix10L,ocs_eps_preset_greedy,10,0.192,0.017
mix10L,ocs_eps_preset_dynamic_greedy,10,0.333,0.040
mix10L,pure_ocs_3hop_preset,10,0.824,0.206
mix10L,pure_ocs_pruned,10,0.762,0.170
mix10L,ocs_eps_pruned,10,0.988,0.195
mix4L3M3S,ocs_eps_global_ksp,10,0.000,0.000
mix4L3M3S,pure_ocs_ksp,10,0.000,0.000
mix4L3M3S,eps_ecmp,10,0.000,0.000
mix4L3M3S,ocs_eps_large_small,10,0.000,0.000
mix4L3M3S,pure_ocs_ksp_greedy,10,0.119,0.011
mix4L3M3S,ocs_eps_preset_greedy,10,0.137,0.014
mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,0.257,0.038
mix4L3M3S,pure_ocs_3hop_preset,10,0.596,0.148
mix4L3M3S,pure_ocs_pruned,10,0.684,0.095
mix4L3M3S,ocs_eps_pruned,10,0.621,0.114
n20_mix1L1M1S,ocs_eps_global_ksp,10,0.000,0.000
n20_mix1L1M1S,pure_ocs_ksp,10,0.000,0.000
n20_mix1L1M1S,eps_ecmp,10,0.000,0.000
n20_mix1L1M1S,ocs_eps_large_small,10,0.000,0.000
n20_mix1L1M1S,pure_ocs_ksp_greedy,10,0.096,0.016
n20_mix1L1M1S,ocs_eps_preset_greedy,10,0.107,0.011
n20_mix1L1M1S,ocs_eps_preset_dynamic_greedy,10,0.170,0.018
n20_mix1L1M1S,pure_ocs_3hop_preset,10,0.295,0.064
n20_mix1L1M1S,pure_ocs_pruned,10,0.413,0.058
n20_mix1L1M1S,ocs_eps_pruned,10,0.882,0.959
n40_mix3L2M1S,ocs_eps_global_ksp,10,0.000,0.000
n40_mix3L2M1S,pure_ocs_ksp,10,0.000,0.000
n40_mix3L2M1S,eps_ecmp,10,0.000,0.000
n40_mix3L2M1S,ocs_eps_large_small,10,0.000,0.000
n40_mix3L2M1S,pure_ocs_ksp_greedy,10,0.119,0.012
n40_mix3L2M1S,ocs_eps_preset_greedy,10,0.149,0.016
n40_mix3L2M1S,ocs_eps_preset_dynamic_greedy,10,0.235,0.030
n40_mix3L2M1S,pure_ocs_3hop_preset,10,0.251,0.053
n40_mix3L2M1S,pure_ocs_pruned,10,0.261,0.052
n40_mix3L2M1S,ocs_eps_pruned,10,0.308,0.048
n80_mix4L3M3S,ocs_eps_global_ksp,10,0.000,0.000
n80_mix4L3M3S,pure_ocs_ksp,10,0.000,0.000
n80_mix4L3M3S,eps_ecmp,10,0.000,0.000
n80_mix4L3M3S,ocs_eps_large_small,10,0.000,0.000
n80_mix4L3M3S,pure_ocs_ksp_greedy,10,0.118,0.011
n80_mix4L3M3S,ocs_eps_preset_greedy,10,0.136,0.015
n80_mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,0.238,0.030
n80_mix4L3M3S,pure_ocs_3hop_preset,10,0.625,0.150
n80_mix4L3M3S,pure_ocs_pruned,10,0.527,0.126
n80_mix4L3M3S,ocs_eps_pruned,10,0.589,0.079
spread0ms,ocs_eps_global_ksp,10,0.000,0.000
spread0ms,pure_ocs_ksp,10,0.000,0.000
spread0ms,eps_ecmp,10,0.000,0.000
spread0ms,ocs_eps_large_small,10,0.000,0.000
spread0ms,pure_ocs_ksp_greedy,10,0.119,0.011
spread0ms,ocs_eps_preset_greedy,10,0.135,0.013
spread0ms,ocs_eps_preset_dynamic_greedy,10,0.248,0.038
spread0ms,pure_ocs_3hop_preset,10,0.587,0.141
spread0ms,pure_ocs_pruned,10,0.642,0.114
spread0ms,ocs_eps_pruned,10,0.810,0.038
spread25ms,ocs_eps_global_ksp,10,0.000,0.000
spread25ms,pure_ocs_ksp,10,0.000,0.000
spread25ms,eps_ecmp,10,0.000,0.000
spread25ms,ocs_eps_large_small,10,0.000,0.000
spread25ms,pure_ocs_ksp_greedy,10,0.123,0.007
spread25ms,ocs_eps_preset_greedy,10,0.132,0.013
spread25ms,ocs_eps_preset_dynamic_greedy,10,0.238,0.030
spread25ms,pure_ocs_3hop_preset,10,0.579,0.136
spread25ms,pure_ocs_pruned,10,0.645,0.104
spread25ms,ocs_eps_pruned,10,0.751,0.130
