case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
cdf_fbcoco_march_2024,ocs_eps_global_ksp,9,1.984,0.179
cdf_fbcoco_march_2024,pure_ocs_ksp,9,1.208,0.080
cdf_fbcoco_march_2024,eps_ecmp,9,1.028,0.041
cdf_fbcoco_march_2024,ocs_eps_large_small,9,1.150,0.096
cdf_fbcoco_march_2024,pure_ocs_ksp_greedy,9,1.082,0.041
cdf_fbcoco_march_2024,ocs_eps_preset_greedy,9,1.053,0.061
cdf_fbcoco_march_2024,ocs_eps_preset_dynamic_greedy,9,1.000,0.000
cdf_fbcoco_march_2024,pure_ocs_3hop_preset,9,1.047,0.058
cdf_fbcoco_march_2024,pure_ocs_pruned,9,1.047,0.058
cdf_fbcoco_march_2024,ocs_eps_pruned,9,1.027,0.048
n80_mix4L3M3S,ocs_eps_global_ksp,10,1.941,0.199
n80_mix4L3M3S,pure_ocs_ksp,10,1.171,0.045
n80_mix4L3M3S,eps_ecmp,10,1.005,0.057
n80_mix4L3M3S,ocs_eps_large_small,10,1.097,0.059
n80_mix4L3M3S,pure_ocs_ksp_greedy,10,1.086,0.053
n80_mix4L3M3S,ocs_eps_preset_greedy,10,1.049,0.039
n80_mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n80_mix4L3M3S,pure_ocs_3hop_preset,10,1.023,0.043
n80_mix4L3M3S,pure_ocs_pruned,10,1.023,0.043
n80_mix4L3M3S,ocs_eps_pruned,10,1.001,0.051
spread100ms,ocs_eps_global_ksp,10,1.941,0.199
spread100ms,pure_ocs_ksp,10,1.171,0.045
spread100ms,eps_ecmp,10,1.005,0.057
spread100ms,ocs_eps_large_small,10,1.097,0.059
spread100ms,pure_ocs_ksp_greedy,10,1.087,0.053
spread100ms,ocs_eps_preset_greedy,10,1.049,0.039
spread100ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread100ms,pure_ocs_3hop_preset,10,1.023,0.043
spread100ms,pure_ocs_pruned,10,1.023,0.043
spread100ms,ocs_eps_pruned,10,1.001,0.051
