case_base,seed,scheduler,avg_relative_cct_vs_dynamic
cdf_fbcoco_march_2024,42,ocs_eps_global_ksp,1.431
cdf_fbcoco_march_2024,42,pure_ocs_ksp,0.972
cdf_fbcoco_march_2024,42,eps_ecmp,0.934
cdf_fbcoco_march_2024,42,ocs_eps_large_small,0.844
cdf_fbcoco_march_2024,42,pure_ocs_ksp_greedy,0.732
cdf_fbcoco_march_2024,42,ocs_eps_preset_greedy,1.096
cdf_fbcoco_march_2024,42,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_march_2024,42,pure_ocs_3hop_preset,1.103
cdf_fbcoco_march_2024,42,pure_ocs_pruned,1.103
cdf_fbcoco_march_2024,42,ocs_eps_pruned,0.956
cdf_fbcoco_march_2024,43,ocs_eps_global_ksp,1.041
cdf_fbcoco_march_2024,43,pure_ocs_ksp,0.892
cdf_fbcoco_march_2024,43,eps_ecmp,0.836
cdf_fbcoco_march_2024,43,ocs_eps_large_small,0.775
cdf_fbcoco_march_2024,43,pure_ocs_ksp_greedy,0.968
cdf_fbcoco_march_2024,43,ocs_eps_preset_greedy,0.825
cdf_fbcoco_march_2024,43,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_march_2024,43,pure_ocs_3hop_preset,0.909
cdf_fbcoco_march_2024,43,pure_ocs_pruned,0.909
cdf_fbcoco_march_2024,43,ocs_eps_pruned,0.986
cdf_fbcoco_march_2024,44,ocs_eps_global_ksp,1.446
cdf_fbcoco_march_2024,44,pure_ocs_ksp,1.003
cdf_fbcoco_march_2024,44,eps_ecmp,1.096
cdf_fbcoco_march_2024,44,ocs_eps_large_small,1.397
cdf_fbcoco_march_2024,44,pure_ocs_ksp_greedy,0.817
cdf_fbcoco_march_2024,44,ocs_eps_preset_greedy,0.952
cdf_fbcoco_march_2024,44,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_march_2024,44,pure_ocs_3hop_preset,0.944
cdf_fbcoco_march_2024,44,pure_ocs_pruned,0.944
cdf_fbcoco_march_2024,44,ocs_eps_pruned,0.701
cdf_fbcoco_march_2024,45,ocs_eps_global_ksp,2.079
cdf_fbcoco_march_2024,45,pure_ocs_ksp,1.894
cdf_fbcoco_march_2024,45,eps_ecmp,1.483
cdf_fbcoco_march_2024,45,ocs_eps_large_small,1.393
cdf_fbcoco_march_2024,45,pure_ocs_ksp_greedy,1.362
cdf_fbcoco_march_2024,45,ocs_eps_preset_greedy,1.395
cdf_fbcoco_march_2024,45,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_march_2024,45,pure_ocs_3hop_preset,1.365
cdf_fbcoco_march_2024,45,pure_ocs_pruned,1.365
cdf_fbcoco_march_2024,45,ocs_eps_pruned,1.440
cdf_fbcoco_march_2024,46,ocs_eps_global_ksp,1.792
cdf_fbcoco_march_2024,46,pure_ocs_ksp,1.593
cdf_fbcoco_march_2024,46,eps_ecmp,1.507
cdf_fbcoco_march_2024,46,ocs_eps_large_small,1.165
cdf_fbcoco_march_2024,46,pure_ocs_ksp_greedy,1.340
cdf_fbcoco_march_2024,46,ocs_eps_preset_greedy,1.269
