case_base,seed,scheduler,avg_solve_time_ms
cdf_fbcoco_march_2024,42,ocs_eps_global_ksp,0.000
cdf_fbcoco_march_2024,42,pure_ocs_ksp,0.000
cdf_fbcoco_march_2024,42,eps_ecmp,0.000
cdf_fbcoco_march_2024,42,ocs_eps_large_small,0.000
cdf_fbcoco_march_2024,42,pure_ocs_ksp_greedy,0.126
cdf_fbcoco_march_2024,42,ocs_eps_preset_greedy,0.115
cdf_fbcoco_march_2024,42,ocs_eps_preset_dynamic_greedy,0.209
cdf_fbcoco_march_2024,42,pure_ocs_3hop_preset,0.444
cdf_fbcoco_march_2024,42,pure_ocs_pruned,0.423
cdf_fbcoco_march_2024,42,ocs_eps_pruned,0.642
cdf_fbcoco_march_2024,43,ocs_eps_global_ksp,0.000
cdf_fbcoco_march_2024,43,pure_ocs_ksp,0.000
cdf_fbcoco_march_2024,43,eps_ecmp,0.000
cdf_fbcoco_march_2024,43,ocs_eps_large_small,0.000
cdf_fbcoco_march_2024,43,pure_ocs_ksp_greedy,0.113
cdf_fbcoco_march_2024,43,ocs_eps_preset_greedy,0.115
cdf_fbcoco_march_2024,43,ocs_eps_preset_dynamic_greedy,0.210
cdf_fbcoco_march_2024,43,pure_ocs_3hop_preset,0.437
cdf_fbcoco_march_2024,43,pure_ocs_pruned,0.415
cdf_fbcoco_march_2024,43,ocs_eps_pruned,0.553
cdf_fbcoco_march_2024,44,ocs_eps_global_ksp,0.000
cdf_fbcoco_march_2024,44,pure_ocs_ksp,0.000
cdf_fbcoco_march_2024,44,eps_ecmp,0.000
cdf_fbcoco_march_2024,44,ocs_eps_large_small,0.000
cdf_fbcoco_march_2024,44,pure_ocs_ksp_greedy,0.101
cdf_fbcoco_march_2024,44,ocs_eps_preset_greedy,0.115
cdf_fbcoco_march_2024,44,ocs_eps_preset_dynamic_greedy,0.205
cdf_fbcoco_march_2024,44,pure_ocs_3hop_preset,0.657
cdf_fbcoco_march_2024,44,pure_ocs_pruned,0.419
cdf_fbcoco_march_2024,44,ocs_eps_pruned,0.555
